show cloud forcast in 1 hour in IA  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need to find Best of the West Rides Again  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the release date for the DVD called Wild Is the Wind?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
what theater is showing Trouble in Paradise at 00:45 am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time can I watch Son of Rambow Tonight at Fox Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me when and where I can see Song of Summer  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you put Musiri Subramania Iyer's song onto the lo-fi love soundtrack?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  GetWeather ; correct:  BookRestaurant ]
I am looking for a creative work called Something Warm  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need to add to my metal crash course list the music of El sexto sentido  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I need to book a reservation in Searsport at eleven am  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Need a creative work called Hit by Love  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to Keep the Faith  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Brother at United Paramount Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you find Fire Escape in the Sky: The Godlike Genius of Scott Walker  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Among the Great Apes with Michelle Yeoh playing and when  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want novena on a nocturn added to the playlist called Gold Edition  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you find me Cracks the Safe?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I find information on Brats in Battalions?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time could I see A Mile in His Shoes?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I am looking for the work: Nikki  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you find me the work titled Music for Millions?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like a table at the San Francisco Brewing Company in Puerto Rico at noon  [predicted:  GetWeather ; correct:  BookRestaurant ]
The Mystery of the Brass Bound Trunk deserves only a 1 star rating.  [predicted:  BookRestaurant ; correct:  RateBook ]
Find the schedule for for Corn at eleven A.M. at Loews Cineplex Entertainment.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find me the documentary A Winter of Cyclists  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for the work titled Converging Conspiracies  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Include Brandon Paris in The MetalSucks Playlist  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I need Journal of Pediatric Oncology Nursing, help me find  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Looking for a creative work called Plant Ecology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking to book a reservation in Aruba at a place nearby.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please search the title The Twilight Saga: Breaking Dawn Part 2.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is there a showing of A Matter of Degrees at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
me and robin need reservations for somewhere in Palau  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find lesley's epic classical playlist and add this tune  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Where the The Housemaid playing and when  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'm looking to find Kiss Me Goodbye.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I find the creative works The Very Best of Simply Red  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
For my Crossfit playlist add The Soul Sessions Volume 2  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I'd like to see showings for All the Way Home at Kerasotes Theatres.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'm looking to find Suryavanshi.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Book a restasurant in Pohick Delaware.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Edit Classic Road Trip Songs put on Sammy Cahn  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Whens the next showing of The Game of Their Lives  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need to find the creative work Wave  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show animated movie at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When does Of Stars and Men play?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
this saga deserves a score of four  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Gods and Pawns should get a three  [predicted:  BookRestaurant ; correct:  RateBook ]
Give a rating of 2 to Juneteenth.  [predicted:  BookRestaurant ; correct:  RateBook ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book Childs Restaurants in Bruno for 1 person on October 6th, 2019.  [predicted:  RateBook ; correct:  BookRestaurant ]
Add to playlist Confidence Boost Here Comes Santa Claus  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to see Cristo in India  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I would like to book at Clinton Street Baking Company & Restaurant in Brookneal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
The Sins of the Cities of the Plain gets a rating of one  [predicted:  BookRestaurant ; correct:  RateBook ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is The Butcher Boy playing anywhere at supper time?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'm looking for a job in Inversion  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please include Emily Remler in Indie Bluegrass  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Help me find Where the Wild Things Are  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is Proudly She Marches playing anywhere?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What does For All the Wrong Reasons look like  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Add the entire album into indie español  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Please help me find, Bend It Like Beckham the Musical.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for the show called The Origin of the Milky Way  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
help me find the work Unite and Win  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What are the weather conditions going to be like in Manhasset, Vermont on Dec. the 6th, 2036?  [predicted:  BookRestaurant ; correct:  GetWeather ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What theater is showing From Paris with Love and when?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I am looking for a work called Carry You Home  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Pirates of the Caribbean Online  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
make a reservation for hillary, dina chavez and alexis  [predicted:  GetWeather ; correct:  BookRestaurant ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Dipson Theatres with Swiss Army Man at 8 p.m.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please look up the work, Bachelor Pad.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me the current showtimes for Tarass Boulba.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time will the Amco Entertainment  be plying The Teeth of the Tiger  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please search the work, Eve-Olution.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Tomorrow at Seven being played at Douglas Theatre Company?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
For the book Icon of Evil  I rate a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
Let me know when I can watch Actrices.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Mary Kom starting in one hour  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  2962 / 3140  ( 0.943312101910828 )
Add to playlist Confidence Boost Here Comes Santa Claus  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Bernardsville?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I would like reservations made for Masonville, Vermont nov. 7  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Mary Kom starting in one hour  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What theater is showing From Paris with Love and when?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to reserve a table in Northcote.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please pull up Nothing Feels Good  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to read Mad Money  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book a spot at The Red Onion in San Marino for next week  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Include the album by Arthur Rhames in Urban Poet  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can you play some music by andrew diamond  [predicted:  GetWeather ; correct:  PlayMusic ]
my jazz for loving couples needs more push the button  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play some songs from 1958  [predicted:  GetWeather ; correct:  PlayMusic ]
Make me a reservation for elvira and I in Brazil  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find me a table for me and my grandkid in Union Square Cafe  [predicted:  GetWeather ; correct:  BookRestaurant ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
please add this song to Madden NFL 16  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you make an addition to the Old Enough To Enjoy This playlist with Martin Barre?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need work of Father Dearest  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to book a table at Black Horse Tavern in Georgia at 4 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want a reservation for 11:16:07 at The Fort in South Carolina.  [predicted:  GetWeather ; correct:  BookRestaurant ]
When does Of Stars and Men play?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want to put look to you on the playlist named 80s Classic Hits  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Book COVA in Frisco City for me and therese at eight pm  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Book me a reestaurant that is close in the country of Cocos Islands  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you find a creative work called A Saintly Switch  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is the creative work Seven Pillars of Wisdom?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Open this is no te va gustar and add Over the rainbow to it  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When and where can I see A Film with Me in It  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Open my acoustic concentration playlist and play an entire album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
melba and I want to dine in Barbados next Jun.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a reservation in Steele City  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to add to the all things post starting with my favorites from the silence  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want to book the Black Cat Bar in AR  [predicted:  GetWeather ; correct:  BookRestaurant ]
Add to playlist i love my neo soul the name national treasure book of secrets  [predicted:  GetWeather ; correct:  AddToPlaylist ]
book Tartine in Mississippi for 5  [predicted:  RateBook ; correct:  BookRestaurant ]
in one hour find King of Hearts  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to eat at The Firehouse Restaurant  [predicted:  GetWeather ; correct:  BookRestaurant ]
play anything from 1970  [predicted:  GetWeather ; correct:  PlayMusic ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I would like to add to my plalist, Visjoner onto the old school metal one  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
what theater is showing Trouble in Paradise at 00:45 am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me when and where I can see Song of Summer  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
can you play some weird music from the noise genre  [predicted:  GetWeather ; correct:  PlayMusic ]
Please include Emily Remler in Indie Bluegrass  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
need a table at Colony in Sri Lanka next year  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Proudly She Marches playing anywhere?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
At 8 AM I want to eat at The Rosebud in the Federated States Of Micronesia  [predicted:  GetWeather ; correct:  BookRestaurant ]
The Coming Insurrection should get a rating of 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you get me a reservation at WWE The World around Av U  [predicted:  GetWeather ; correct:  BookRestaurant ]
Get me information on The Riverfront Times  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Breathless  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book The Crown at Whitebrook in the Solomon Islands for Dec. the twenty-third, 2029.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like a reservation for Thornbury Castle three hours from now in NM.  [predicted:  GetWeather ; correct:  BookRestaurant ]
when is sunrise in AMerican Samoa  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I would like a table for jacqueline wilson and deanna at David Carpenter House in Uncas FM  [predicted:  GetWeather ; correct:  BookRestaurant ]
Edit Classic Road Trip Songs put on Sammy Cahn  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
For my Crossfit playlist add The Soul Sessions Volume 2  [predicted:  GetWeather ; correct:  AddToPlaylist ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Gods and Pawns should get a three  [predicted:  BookRestaurant ; correct:  RateBook ]
Please get seating for me and my children  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want watch The Sun And The Moon  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to eat at Old Dutch in 15 seconds in Northern Mariana Islands  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you make a reservation for next year in Modesto for joanna and ella  [predicted:  GetWeather ; correct:  BookRestaurant ]
How is the weather going to be this week in Roseau, IA.  [predicted:  BookRestaurant ; correct:  GetWeather ]
For the playlist running power add the name The Best Is Yet to Come  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Can I listen to music from the Easy Listening genre?  [predicted:  GetWeather ; correct:  PlayMusic ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  GetWeather ; correct:  BookRestaurant ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  BookRestaurant ; correct:  RateBook ]
I want Sugarfoot  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Whens the next showing of The Game of Their Lives  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Book me a reservation nearby my neighborhood  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Lets hear some booty bass  [predicted:  GetWeather ; correct:  PlayMusic ]
Play my playlist springtime  [predicted:  GetWeather ; correct:  PlayMusic ]
Add the entire album into indie español  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you reserve a table within the same area as the AMerican Samoa for me and my mom  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Butcher Boy playing anywhere at supper time?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I listen to Willy and the Poor Boys  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a reservation at a restaraunt in CT  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a table somewhere in Dominica for 2 minutes from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show me work of Truth and Tolerance  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book reservations at Phase 1 in La Jara  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I buy The Lying Game  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When will So Happy Together begin playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find and book a table in WV  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please find the work titled Talking to Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Help me find the work titled SingStar Take That  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want this song on the playlist called chill vibes  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Is Brother at United Paramount Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
