will it rain today in French Southern Territories of Highland Beach  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show weather while Sunset in the same area in South Carolina  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
How much hotter will it be 40 weeks from now in Blue Island, North Dakota?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the Paranormal Activity: Ghost Dimension album?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the trailer for A Lineage of Grace  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What will it be like in six PM at the current place  [predicted:  RateBook ; correct:  GetWeather ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
Will it get chillier in North Creek Forest?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
is Las aventuras de Zachary Beaver at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
at my current spot is it going to be hotter on Nov. the eighth  [predicted:  RateBook ; correct:  GetWeather ]
Is it cold in the current location more than it was in 3 years  [predicted:  RateBook ; correct:  GetWeather ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it be chilly 17 hours from now in Cold Creek Conservation Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like a new england added to Classical Moments in Movies.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play The Lousy Dance trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will there be a storm on Christmas Day in my current place?  [predicted:  RateBook ; correct:  GetWeather ]
one hour from now what will it be like in Cholame Rhode Island  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to listen to the song The Natural Farmer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
is Ce cher intrus at IMAX Corporation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it going to be nice at 6 AM at Chippewa Lake  [predicted:  RateBook ; correct:  GetWeather ]
Need to see if there will be fog  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to know when I can see The Taking of Flight 847: The Uli Derickson Story at Amco Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
insert Rock Me UP song to my list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I need to know is it freezing in MN at 01:27 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Forecast for my current location at 6  [predicted:  RateBook ; correct:  GetWeather ]
what is the current spot forecast for far areas and warmer temps  [predicted:  RateBook ; correct:  GetWeather ]
Will there be fog on March 3, 2038 in Bonaire  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
my té para tres needs Brave and Crazy added on.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
is it supposed to get colder here on 12/28/2019  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play trailer of Do Whatever Turns You On  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it get cloudy in Cliffwood Beach?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find the schedule for Brick.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see the book The Royal Thousand  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
Will it get colder in Alaska?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it be warm in the current place next spring  [predicted:  RateBook ; correct:  GetWeather ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
will it be freezing in New Ringgold Nebraska  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to see Walk on the Wild Side: The Best of Lou Reed  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it be colder at five o'clock at the Apolobamba Integrated Management Natural Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is it going to be hot on Oct. the 8th, 2020 in the neighboring Greenland area  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
the series City on Fire is a four  [predicted:  SearchCreativeWork ; correct:  RateBook ]
rate the book The Scorpio Illusion a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me when Scandalous John is playing.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me The Education of Little Tree song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when can i see We and Our Mountains  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Buy novel Brokeback Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show the forecast nearby in twenty two minutes in French Polynesia  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want If I Could Be with You added to mellow dinner  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Onto jerry's Classical Moments in Movies, please add the album.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Will a blizzard hit Torrey Pines State Natural Reserve on jun. sixteenth?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to play the game The Celestial Hawk  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate the book Whit a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
Rate The Book of Three a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Need the book called ANAK  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When is One Sunday Morning scheduled to be played?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
In NH will it be chillier in West York at noon  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to hear Don Airey's Gonna Raise Hell  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be rainy nine weeks from now close to the Matlacha Pass National Wildlife Refuge  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
what time can i see Mojave Phone Booth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear one of Eric Clapton's most popular melody on Pandora.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
The Forest should be rated a four  [predicted:  BookRestaurant ; correct:  RateBook ]
How is the humidity near my current place  [predicted:  RateBook ; correct:  GetWeather ]
Will it be hot two seconds from now in neighboring West Clear Creek Wilderness  [predicted:  BookRestaurant ; correct:  GetWeather ]
Go to the movie Welcome to Tokyo  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it going to get colder at my current location by 10 am  [predicted:  RateBook ; correct:  GetWeather ]
Can this song get added to lunchtime?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get warmer by 5 am in Washington?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it get colder in Cape Fair  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please let me know the weather forcast of Stanislaus National Forest far in nine months  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What will it be like in the current place at midnight  [predicted:  RateBook ; correct:  GetWeather ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I purchase the book Scales of Justice  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will it get hotter next year in Springside Nature Reserve?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I read the book The Omega Stone?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is the weather like within walking distance of the Nationalpark Drawa  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
will it get chillier within walking distance of PW  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it get hotter in Hext?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What will it feel like in the current place in July  [predicted:  RateBook ; correct:  GetWeather ]
Will it be cloudy one hour from now in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Will it be overcast during meal time in NH?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want the weather for Saint Martin next year  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Will it be cold in Boyertown New Zealand in eighteen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Put the song playing on laverne's rapcaviar playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Does the forecast show a storm in Maquoketa, NH around July sixth?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Is there snowfall in Hineston New Hampshire  [predicted:  PlayMusic ; correct:  GetWeather ]
humidity not far from Colorado City on November the 7th, 2024  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
show movie CrossGenesis  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it feel nicer in Finland or New Mexico today  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is there a storm in New Mexico in Fort Sumner  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find the movie Shake Your Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me a forecast for French Polynesia  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
will there be hail in Dean Creek Wildlife Area on Feb. 25, 2031  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is there fog in New York  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need the wather for next week in the Philippines  [predicted:  BookRestaurant ; correct:  GetWeather ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch The Holy Office at Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Show me schedules to see A Film with Me in It.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get colder by 11 in Jacobsburg. Syria?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
On jan. the twentieth what will it feel like in CT or the area not far from it  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What is it like on 7/10/2023 in the current place  [predicted:  RateBook ; correct:  GetWeather ]
Find the Fields of Sacrifice movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate the book A Girl, a Man, and a River a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Where and at what time can I see Paragraphe 78  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get a chimichanga meal at a bakery  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it get hotter in Zenith CT?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
will there be a snowstorm in eight months at Chattahoochee River National Recreation Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me the forecast for the distant area of ME at three pm  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
humidity in Olvey New Hampshire  [predicted:  PlayMusic ; correct:  GetWeather ]
Show the forecast for Moonlight Beach at 10/4/2021  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
what is the forecast for the current place for sun on january sixth, 2028 within walking distance  [predicted:  BookRestaurant ; correct:  GetWeather ]
Will the wind die down at my current location by supper time?  [predicted:  RateBook ; correct:  GetWeather ]
where can i watch Wartime Romance in the morning  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get chillier in 2 seconds in Republic of the Congo?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show the forecast for Tanintharyi Nature Reserve  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Where can I get the novel Flesh-Colored Horror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be a blizzard in White House Curacao  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Where can I buy the movie Totality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what is the 7 day for Cheat Canyon Wildlife Management Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be hot in my current location this week?  [predicted:  RateBook ; correct:  GetWeather ]
Is it supposed to be chilly in DE tonight?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play a trailer for Sencha Touch  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  2903 / 3140  ( 0.9245222929936305 )
I want to give this book zero  [predicted:  BookRestaurant ; correct:  RateBook ]
renee sanders, marlene and jewel want to go to a gastropub in the spa  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
rate The Ape-Man Within 4  [predicted:  BookRestaurant ; correct:  RateBook ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What are the current showtimes for Love Fiction?  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to know the temperate from January the twentieth in Brazil  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it be hot two seconds from now in neighboring West Clear Creek Wilderness  [predicted:  BookRestaurant ; correct:  GetWeather ]
Go to After Dusk They Come  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I give this book a 5.  [predicted:  BookRestaurant ; correct:  RateBook ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find The Press of Atlantic City movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what time can i see The Conflicts of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I wish to hear the playlist Estado de ánimo on Last Fm.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please make reservations for me and my roommate somewhere in Bouvet Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
will it be freezing in New Ringgold Nebraska  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
mark this album a score of 5  [predicted:  AddToPlaylist ; correct:  RateBook ]
rate the book A Girl, a Man, and a River a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I listen to Willy and the Poor Boys  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be overcast in 1 minute within walking distance of OH  [predicted:  BookRestaurant ; correct:  GetWeather ]
show fog conditions at 7 am in NH  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Rate this book a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Who rated the book Women, Culture, and Society only 3 stars?  [predicted:  BookRestaurant ; correct:  RateBook ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to eat Louisiana Fried Chicken in McColl, IA  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Noche de chicas playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me the movie Purple Heart Diary.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate this book a 0  [predicted:  BookRestaurant ; correct:  RateBook ]
Play me a song from Movies For The Blind on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
