I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like a new england added to Classical Moments in Movies.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  RateBook ; correct:  PlayMusic ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be a blizzard in White House Curacao  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I'm looking for a movie schedule at the Cooper Foundation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is A Closed Book playing at United Paramount Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when is Our Story showing next at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Plya a tune by Kancherla Gopanna from 1951 on Zvooq  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need to know is it freezing in MN at 01:27 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find time for Trouble for Two in one minute at Landmark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I listen to Dj Vibe's top 10?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
where can Ifind You Know Me, a saga  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a reservation for a tea house in Lorain  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Vegucated starting at zero pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate this book titled The Silver Chalice a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
What time does The Maze start at Cineplex Odeon Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
Give me an album from 1972 to listen to.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where to get painting of Channel 4 News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
1 point for this next textbook  [predicted:  GetWeather ; correct:  RateBook ]
I'd like to hear Don Airey's Gonna Raise Hell  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me the movie Operetta for the Theatre Organ  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the movie schedule for Whore II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Party Anthems  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Sort to the last song on playlist from 1983 a chant by Mark Oliver Everett  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
The A Mighty Fortress series should be rated a two  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Book a bar for 6 that has stuffed ham and isn't too faraway from Canarsie - Rockaway Parkway on bennington battle day.  [predicted:  RateBook ; correct:  BookRestaurant ]
Tell me when Howling II: Your Sister Is a Werewolf is playing.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find an outdoor facility for midday in Datil at a pub for six  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you get me seating for a party of 5  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to go to a pizzeria within walking distance of Hutchinson  [predicted:  GetWeather ; correct:  BookRestaurant ]
book Itsu for Tonight  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book the Bobcat Bite.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show the schedule of Unborn but Forgotten  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me seating for 5 people 1 minute from now in Tuvalu  [predicted:  RateBook ; correct:  BookRestaurant ]
Is it possible to see The Day of the Jackal at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to know the temperate from January the twentieth in Brazil  [predicted:  BookRestaurant ; correct:  GetWeather ]
is Transcending Fear at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my great grandfather and I would like to get together at a taverna.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Reserve in Bermuda a food court near jan and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a time of 21 minutes from now for here  [predicted:  BookRestaurant ; correct:  GetWeather ]
Gods and Pawns should get a three  [predicted:  GetWeather ; correct:  RateBook ]
Show me Interesting Times: The Secret of My Success  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
get me House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
is Terminal Station at Cinemark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the Caps Lock trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Three in the Attic  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
my brother in law and I would like to go to Guinea-Bissau for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to play the game Guitar Heaven ... The Greatest Guitar Classics of All Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  GetWeather ; correct:  BookRestaurant ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time will the Amco Entertainment  be plying The Teeth of the Tiger  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets eat now somewhere in Roach  [predicted:  GetWeather ; correct:  BookRestaurant ]
insert Rock Me UP song to my list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
reserve a spotat the food truck twelve weeks from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Look up The Baltic Times picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time is I Know That You Know That I Know lpaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want If I Could Be with You added to mellow dinner  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to know if its humid in Greenback in Mongolia  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can I buy the book Vacation of Petrov and Vasechkin online?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want to listen to the song First Time for Everything  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
party for ten at National Coney Island in DE  [predicted:  AddToPlaylist ; correct:  BookRestaurant ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I would like an outdoor cafeteria for 3  [predicted:  GetWeather ; correct:  BookRestaurant ]
Take me to the top-rated taverna in Sealy for trattoria next week for 5  [predicted:  GetWeather ; correct:  BookRestaurant ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 14:40  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Search for The Sound of One Hand Clapping  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  2980 / 3140  ( 0.9490445859872612 )
rate The Wimpy Kid Movie Diary  saga 4 out of 6  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me seating for a party of 4  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will it get colder in Alaska?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to give this book zero  [predicted:  BookRestaurant ; correct:  RateBook ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can i see We and Our Mountains  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to eat in Montana on 10/22/2030  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Book a bakery at zero o'clock for 5 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
is One Night Surprise at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Within You Without You by Distance on zvooq.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
in one hour find King of Hearts  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is this film going to be at Malco Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
use Vimeo to play De Camino a Clase playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it get colder in Cape Fair  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
where can I watch Mabel’s Dramatic Career at twenty two o'clock  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find time for Trouble for Two in one minute at Landmark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find five points called The Origins of Virtue  [predicted:  SearchCreativeWork ; correct:  RateBook ]
rate the book The Guernsey Literary and Potato Peel Pie Society a five  [predicted:  BookRestaurant ; correct:  RateBook ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  PlayMusic ; correct:  BookRestaurant ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to listen to Tom Cochrane's 1990 ep on Zvooq.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to listen to opera on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What are the showtimes for Beware! The Blob at Plitt Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
the next book is worth two  [predicted:  BookRestaurant ; correct:  RateBook ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Let me hear the Live From The Ghetto album by Beau Jocque.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time is I Know That You Know That I Know lpaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play my Masters of Metal playlist on Spotify  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
add repent replenish repeat to Classical Moments in Movies  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book The Orchard Book of First Greek Myths a 0  [predicted:  BookRestaurant ; correct:  RateBook ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Vegucated starting at zero pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd say Life in the Iron Mills was a five  [predicted:  GetWeather ; correct:  RateBook ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate Eight Days of Luke a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is Transcending Fear at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
can you put on Like A Hurricane by Paul Landers  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What are the Mann Theatres showtimes for Secret Sunshine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find Mary Kom starting in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Schedule the food truck to be at your place in the distant future.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Find time for Enkitta Mothathe at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please anything good by Chieko Ochi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
the following essay is a two  [predicted:  GetWeather ; correct:  RateBook ]
this chronicle rates a one for First Contact?  [predicted:  GetWeather ; correct:  RateBook ]
I want to the latest ballad from Ira Losco  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find and play a concerto on Zvooq from 1978 by Ginger Pooley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is Tomorrow at Dawn at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it cold in the current location more than it was in 3 years  [predicted:  RateBook ; correct:  GetWeather ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see Mojave Phone Booth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where and at what time can I see Paragraphe 78  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be hotter in CT at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
When is Harassed being played at Plitt Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to an ep from 1998.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Live In L.aJoseph Meyer please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
party of six this week in Oman  [predicted:  GetWeather ; correct:  BookRestaurant ]
this chronicle of The Origins and History of Consciousness is a three  [predicted:  GetWeather ; correct:  RateBook ]
I need to hear the new Kevin Fowler album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where can i watch Wartime Romance in the morning  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a coffeehouse in Illinois for three  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Mahalakshmi Iyer music on Netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Give me an album from 1972 to listen to.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Give this book a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
the series City on Fire is a four  [predicted:  GetWeather ; correct:  RateBook ]
Where can I see No Time to Die?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get a chimichanga meal at a bakery  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play music from Art Porter Junior movie sound track using Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
can you put The Little Grey Mother Who Waits All Alone into uncharted 4 nathan drake  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Heartbreak at Pacific Theatres at two pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is Ce cher intrus at IMAX Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plya a tune by Kancherla Gopanna from 1951 on Zvooq  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When is One Sunday Morning scheduled to be played?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Arthur 2 – On the Rocks playing at 20:44?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
list to the most popular Muireann Nic Amhlaoibh song  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Start playing something from Iheart  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find Three in the Attic  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I see Travelling Light?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Brother at United Paramount Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
