find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Pirates of the Caribbean Online  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I listen to Dj Vibe's top 10?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I need to hear a thirties soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to read the book Between a Rock and a Hard Place  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  RateBook ; correct:  PlayMusic ]
Show me the book F-1 Grand Prix Part II  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
will it be sunny in my current place at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to see Level Headed  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the schedule for Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
look for the book titled Iranian Journal of Fuzzy Systems  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch the TV series Sailor Moon SuperS: The Movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look for the album Wolves Within  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
something on Spotify please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
When is One Sunday Morning scheduled to be played?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find the movie Chaos Is Me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find The Cerebellum book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Rate Pillar of Fire and Other Plays a three  [predicted:  GetWeather ; correct:  RateBook ]
I need a book called Student Demonstration Time  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can i see Love Me Tonight  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Who published the novel JamesEdition?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is there any way to see Tailspin Tommy in the Great Air Mystery  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let's listen to the best from Jeff Loomis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Bombshells saga download  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can i use Lastfm to listen to Twilight Time by Dj Khalil?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the trailer for Star Control.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to find the Days of Glory saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can I see the album SWAT Force?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
Can you pull up The Sanford Herald  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the soundtrack for Nothing Personal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Heart Beats.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get the album So Fresh: The Hits of Spring 2011  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Show me the book It Might as Well Be Spring  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to see Jack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I listen to the song The Lost Worlds of Planet Earth  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the show Cheaper By the Dozen 2  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get the novel Flesh-Colored Horror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the cheapest online price for the Instincts saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to read the book Crash Landing  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to see The Da Vinci Code  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for Metallica Through the Never.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get me the Message from God saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
give me some Last Emperor  [predicted:  RateBook ; correct:  PlayMusic ]
when can i see We and Our Mountains  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Ce cher intrus at IMAX Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play me the soundtrack Ready  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show the schedule of Unborn but Forgotten  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to read the novel Alone at the Microphone  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to watch Strange Brother  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
read the book Journal of the Bombay Natural History Society  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When can I see The Crew of the Dora  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can I see the movie Across the Line: The Exodus of Charlie Wright?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
look for the book The Girl Who Was Plugged In  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show fog conditions at 7 am in NH  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to see Jacksonville Daily Progress saga  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to see the saga Tamagotchi 64: Minna de Tamagotchi World  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When was the album Start a Fire released?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to read the book The Lion Sleeps Tonight  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find the movie Yoshimi Battles the Hip-Hop Robots  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Pull up the movie Toy and Help Yourself  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the game Sugarfoot  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to the album Magical Girl Lyrical Nanoha StrikerS  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put my raining playlist on  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can i get a song from the eighties on Zvooq  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find the movie You Must First Learn to Draw the Real  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
listen to Pmd symphony  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Give me an album from 1972 to listen to.  [predicted:  RateBook ; correct:  PlayMusic ]
play I Could Write A Book  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play me the trailer for Chasing After Shadows... Living with the Ghosts.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Something by Danielle Polanco in 1986  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find the schedule for The Kentuckians.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show cloud forcast in 1 hour in IA  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I'd like to see the painting Empire of Two Worlds  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to see the book City University of Hong Kong Law Review  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to hear the soundtrack for Just Once in My Life.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I purchase the Twenty Chickens for a Saddle saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Death Is Called Engelchen at Neighborhood Cinema Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to listen to opera on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see the picture The Collection – The Collector 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you find me The Ridiculous 6 book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Sort to the last song on playlist from 1983 a chant by Mark Oliver Everett  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
read the Black-Body Theory and the Quantum Discontinuity novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I get Intel Array Building Blocks  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you pull up the American Music Awards of 1975  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate trailer Geek Chic  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Wish to find the movie the Heart Beat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Look for Little Computer People  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Check which cinema currently runs When the Last Sword is Drawn.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
listen to acapella  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to listen to the Music of Ghost in the Shell: Stand Alone Complex  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to my Spain Top 50 playlist on groove shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to play the album Clarke  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
How to get saga Stronda Style  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see Spyforce  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Confessions of an Indian Teenager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find the movie Ircle  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me the book My People Were Fair and Had Sky in Their Hair… But Now They’re Content to Wear Stars on Their Brows  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to see The River of Stars TV series  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want The Complete Global Albums Collection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please include Emily Remler in Indie Bluegrass  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you please get me the book Dracula 5: The Blood Legacy?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find the schedule for The Tooth Will Out at sunrise.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find The Press of Atlantic City movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
For the book Icon of Evil  I rate a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play the game Piety Street  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you search the book, Paris - When It Sizzles?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What does For All the Wrong Reasons look like  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to Foreign Affair.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when can I see Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Just Like in the Old Country  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is this film going to be at Malco Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to see the movie The Ooze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  2899 / 3140  ( 0.9232484076433121 )
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where and when can I see The Image Makers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the McGill Law Journal movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
listen to Pmd symphony  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Wish You Were Here, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Rate Pillar of Fire and Other Plays a three  [predicted:  GetWeather ; correct:  RateBook ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the current showtimes for Love Fiction?  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Metallica Through the Never.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I find the picture of House Foundation  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate The Sunrise Lands a zero  [predicted:  GetWeather ; correct:  RateBook ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
What is Dear Old Girl Cooper Foundation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find To Each His Own Cinema, an album  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a reservation for a tea house in Lorain  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
What is the Paranormal Activity: Ghost Dimension album?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Stacey.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see The Conflicts of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
For the book Icon of Evil  I rate a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
rate Over the Edge a three  [predicted:  GetWeather ; correct:  RateBook ]
Look up The Stars Are Indifferent to Astronomy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Read The Open Ecology Journal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need a popular moroccan cafeteria  [predicted:  GetWeather ; correct:  BookRestaurant ]
the series City on Fire is a four  [predicted:  GetWeather ; correct:  RateBook ]
where can i watch Key to the City  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'm looking to watch Savage Grace at Showcase Cinemas at thirteen o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want If I Could Be with You added to mellow dinner  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where to get saga of A Brush with the Law  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me a link to the A Little Something for Us Tempunauts soundtrack.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Go to Mick Fleetwood on my Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
rate Mus of Kerbridge a one  [predicted:  GetWeather ; correct:  RateBook ]
I want to watch the movie X Window Display Manager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
