Search for Appalachian Journey  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Written in Red to my cleaning the house playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Search for Another Cinderella Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What are the Mann Theatres showtimes for Secret Sunshine  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show weather while Sunset in the same area in South Carolina  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
The song peeper needs to be added to my Impulso Creativo playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where can I get the novel Flesh-Colored Horror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you give me weather details for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book a masala bar on march 6, 2034  [predicted:  RateBook ; correct:  BookRestaurant ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch Broadway Nights at Megaplex Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is All Night Long 3 playing 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see showings for The Voice of Merrill at my cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
what time can i see Mojave Phone Booth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the best ballad by The Rascals.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add to playlist i love my neo soul the name national treasure book of secrets  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
want to find the novel called Innocent Until Caught 2: Guilty  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Locate the best pub in Apache Junction  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is it possible to see The Day of the Jackal at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put Joseph Utsler on All Out 70s  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find Blood Moon: Year of the Wolf, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it humid in my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Shw the picture Twin Husbands  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be cloudy in Lenzburg, Papua New Guinea  [predicted:  PlayMusic ; correct:  GetWeather ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Wish to find the movie the Heart Beat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Who was the artist who did the painting called Spyro 2: Season of Flame?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is I Know That You Know That I Know lpaying  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I watch The Mark in a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Crime and Punishment U.S.A. showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for The Sound of One Hand Clapping  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the painting Forever Malcolm Young?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put paula abdul on Musica Española 2017  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Journal of the European Economic Association, a movie I want to see  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please search for Switched.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd say Life in the Iron Mills was a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
painting of Live from the El Rey Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I view the picture Reaching Horizons  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look up The Cool Cafe: Cool Tape Vol. 1 video game  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
what theater is showing Trouble in Paradise at 00:45 am  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for a job in Inversion  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show the schedule of Unborn but Forgotten  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where and at what time can I see Paragraphe 78  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Day of the Beast playing at three p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I see The Somme starting at 16:01:04?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up The Collection Volume One novel  [predicted:  RateBook ; correct:  SearchCreativeWork ]
put four in blue onto Ultimate 00s.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Will it be chillier on october 17 nearby East Glacier Park  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I listen to the soundtrack of Gibraltar: Britain in the Sun  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to the soundtrack Bed of Roses  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can i watch Wartime Romance in the morning  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When will The Flower and the Angry Waves be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
What time is A Battle of Wits starting?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I find Police Story 3: Supercop  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
this album is the last and rated five  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like for this song to be added to the new waltz.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find the novel Playlist: The Very Best of Brad Paisley  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want to see the trailer for No One  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Will it be colder in Noblesville East Timor at 3 pm?  [predicted:  RateBook ; correct:  GetWeather ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it be stormy on 4/3/2027 in New Rochelle, WY  [predicted:  PlayMusic ; correct:  GetWeather ]
is Las aventuras de Zachary Beaver at Harkins Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What time does A King in New York play in Malco Theatres  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
Are there any painting of the 1st Concert Oh Yeah! 1999?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find five points called The Origins of Virtue  [predicted:  GetWeather ; correct:  RateBook ]
Can you find the movie Accidentally in Love  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play a top 5 song from Wally Bastian on Google Music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Get me the Secret South song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it possible to see The Italian Job at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Vegucated starting at zero pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find time for Trouble for Two in one minute at Landmark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Three in the Attic  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
will it get chillier within walking distance of PW  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I get the album So Fresh: The Hits of Spring 2011  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Need to see if there will be fog  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I find the picture of House Foundation  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to watch Sherlock Holmes à New York at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play One Good Reason by Tommy Flanagan on Itunes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Look for Hail Satanas We Are The Black Legions  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my jazz for loving couples needs more push the button  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What's the weather going to be like near Sawtooth National Recreation Area at 2 pm?  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the Hell of a Life movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to watch Mission to Mir  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
listen to Pmd symphony  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to read the saga Michael Clayton  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
ad Czarna dziewczyna to instrumental madness playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find me a restaurant in Pembine Montana  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find me a showing of The Vanquished that starts nine hours and 1 second from now.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Incorporate Moribund the Burgermeister into the 50 Shades of Love playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
When was the album Start a Fire released?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look for Every Little Crook and Nanny  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be foggy in the same area of Parc provincial Kettle Lakes on february the thirteenth, 2018?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add Turk to the deep house playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is Dishyum at the cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for Polish Assault  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find The Press of Atlantic City movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
My group of seven wants to eat at Yogurt Mountain in Slick tonight.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Terminal Station at Cinemark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Add Candlelight to my House Afterwork playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Will it be warm at Tembe Elephant Park on san jacinto day  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is The Matinee Idol 06:30 cinema sold out?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get chillier in 12 years  in Greenland?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the movie Post Inferno Soundtrack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I see William Comes to Town at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Incorporate time warp into my fairy tales playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
is Transcending Fear at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give me some info on when Hands Across the Border will be laying at the cinema.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play a trailer for Give It All  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Include the album by Arthur Rhames in Urban Poet  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  RateBook ; correct:  PlayMusic ]
rate the book The Orchard Book of First Greek Myths a 0  [predicted:  BookRestaurant ; correct:  RateBook ]
Look for the No Bigger than a Minute soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time is Beat the Devil coming on at Mann Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I view the photograph The Phantom Horse  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
can you put The Little Grey Mother Who Waits All Alone into uncharted 4 nathan drake  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please get me the Compulsive Disclosure song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it chilly anywhere faraway from my current place  [predicted:  RateBook ; correct:  GetWeather ]
Lets go eat in Friday 43 days from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find the McGill Law Journal movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
look up Holy Water  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Are there any films around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book sot for four at Fowlkes  [predicted:  RateBook ; correct:  BookRestaurant ]
is it possible to see Corn at eleven A.M. at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What cinema is The Railway Children  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Spanish Harlem Incident to cleaning the house  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Find a movie called Greatest Time of Year.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show me The Best Of: Volume 1 TV series  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to go to the Freight House in Gabon  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Include dschiwan gasparjan in beth's rare groove playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you find me The Ridiculous 6 book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to listen to the soundtrack And Then There Was Light  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When can I see The Crew of the Dora  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see showings for All the Way Home at Kerasotes Theatres.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the best Becca  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me Interesting Times: The Secret of My Success  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the films at ArcLight Hollywood.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
SCORE:  2883 / 3140  ( 0.9181528662420382 )
Fine a movie called Right Here Right Now.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to hear Grievance from the Youtube service  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book a bakery at zero o'clock for 5 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to hear La Jaula De Oro by Mc Ren on Google Music.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please add james house to bleeps & bloops  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Please include Emily Remler in Indie Bluegrass  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Include in my dreams in the this is new edition playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Wish to hear the album Since I Saw You Last  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want novena on a nocturn added to the playlist called Gold Edition  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please look up the painting, Modern times.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want the video game Two More Years  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can I see William Comes to Town at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
She me the Sons of Satan Praise the Lord picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look for Global Clubbing: The Netherlands.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When was the soundtrack for Those Were the Days – The Best of Leningrad Cowboys published?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Buy novel Brokeback Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look for the District 9 novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
look for the book The Girl Who Was Plugged In  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
this track should get added to Spain Top 50  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Could you locate the Epic Conditions picture?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
When was the album Start a Fire released?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
