Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Wish to read the novel called The Wizard of Stone Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me the list of films at Santikos Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When is We Stick Together Through Thick and Thin playing at ArcLight Hollywood?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is The Blue of Heaven playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me the trailer for Star Control.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
looking for Liberalism and the Limits of Justice  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Start up my nostalgic playlist.  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to listen to my Spain Top 50 playlist on groove shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Let me know when The Maiden Danced to Death will be screened at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to the album Magical Girl Lyrical Nanoha StrikerS  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
rate Eleanor Rigby a 3  [predicted:  GetWeather ; correct:  RateBook ]
When is The Grip of Iron playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Love Guru playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you find me the Children of Jerusalem: Yehuda movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please find me The Hanging Valley movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Is A Tree Grows in Brooklyn playing in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show The Singles Collection Volume 4  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show creativity of The Greatest Movie Ever Sold  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for Grand Canyon Trail.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Little Irish Girl playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is These Girls at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
when does Miss Sloane play at IMAX Corporation  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me a showing of The Vanquished that starts nine hours and 1 second from now.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Look for the novel Rings of Steel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate Shadow of Night a 1  [predicted:  GetWeather ; correct:  RateBook ]
Can you look up the Bireswar album?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find the novel Make Peace Not War  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch Monk Comes Down the Mountain  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Storm Warning playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Brother at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Heat playing near me?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see The Half Naked Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
add The Go Find to Sólo para dos  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
look for the book titled Iranian Journal of Fuzzy Systems  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Go to BioRuby  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up the Falls Church News-Press album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want maximilian mutzke added to Acoustic Concentration  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where to get album Justified  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd say Life in the Iron Mills was a five  [predicted:  GetWeather ; correct:  RateBook ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
Is it possible to see Riddick at Consolidated Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When does Of Stars and Men play?  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
Please look up the novel, Live to Dance.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
When will Third Person Singular Number be playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to episodes for the TV series, Fast Food Nation.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
when is Interview: The Documentary playing in Loews Cineplex  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where is Nefertiti, Queen of the Nile playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see The Da Vinci Code  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a book called Student Demonstration Time  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
add Hot House to Have You Met Miss Jones  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
when can i see Dinosaur from the Deep  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is Short of Love playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find five points called The Origins of Virtue  [predicted:  BookRestaurant ; correct:  RateBook ]
party of six this week in Oman  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Chronicle of My Mother showing at the nearest cinema in 1 minute and 8 seconds.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Where can I see No Time to Die?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate The Costs of Accidents a three  [predicted:  GetWeather ; correct:  RateBook ]
Rate The CIA and the Cult of Intelligence a 5.  [predicted:  GetWeather ; correct:  RateBook ]
Is The Angel of Vengeance – The Female Hamlet playing at the cinema at 6 am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I rate Vivian Grey three.  [predicted:  GetWeather ; correct:  RateBook ]
Search The Olympic Champ book.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Reserve me seating midday at Bear Hotel  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you get me the Maldeamores saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Gods and Pawns should get a three  [predicted:  GetWeather ; correct:  RateBook ]
Search for Infantry  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I see Travelling Light?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How to get saga Stronda Style  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
what theater is showing Trouble in Paradise at 00:45 am  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give a 5 to A Picture of Her Tombstone  [predicted:  GetWeather ; correct:  RateBook ]
When is Eye of the Spider playing at Regal Entertainment Group?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where can I see A Film with Me in It  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Mary Kom starting in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you find me the movie, The Girl and the General?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where and when is Unleashed – Entfesselt playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Day of the Beast playing at three p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When can I see The Crew of the Dora  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate The Scarab Murder Case a one  [predicted:  GetWeather ; correct:  RateBook ]
where is Puthri playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
rate The Breaking Point a three  [predicted:  GetWeather ; correct:  RateBook ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Murph the Surf playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put live and rare into dancehall official  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find the schedule for Heart Beats.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Am looking for a book with the title Free to Play  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Please search the Live from Leeds album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to go to an outdoor cafe in Pioneer Day  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I see the movie Across the Line: The Exodus of Charlie Wright?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look up The Reverse of the Medal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you help me search the album titled PlayMaker Football?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
listen to acapella  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you please get me the book Dracula 5: The Blood Legacy?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Please look up the Around the World in Eighty Days movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
How cold will it get in Tajikistan around oct. eleventh?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
There can I find The Beggar Maid playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play I Could Write A Book  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you search for Twilight Is Gone?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is Scaramouche playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is For Lovers Only playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
rate On the Road a five  [predicted:  GetWeather ; correct:  RateBook ]
Rate The Lie Tree five  [predicted:  GetWeather ; correct:  RateBook ]
Is My Own True Love playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me the Growing Artichokes in Mimongo movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking for Welcome to the Canteen  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Proudly She Marches playing anywhere?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Robotix playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to find out when Midnight Club is playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Are any films play at the Santikos Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I purchase the saga The Second Life of Samuel Tyne  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is The Devil with Hitler playing in Bow Tie Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Worms Will Turn running at any movie hall?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Exploits of a Young Don Juan playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When's Fools for Luck showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Tomorrow at Dawn at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What film is playing in the neighbourhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the movie Chaos Is Me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is Goodbye Mr. Chips showing twelve minutes from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Skull playing at Loews Cineplex  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is there any way to see Tailspin Tommy in the Great Air Mystery  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear sia furler's popular songs on Last Fm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Sheikh Chilli playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is The Bride Wore Boots playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Include golden boy in Pop Dance  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is The Stain playing at Loews Cineplex?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is The Toxic Avenger II playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it possible to see Seed of Chucky  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Look for the novel Behind closed doors  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is The Kiss playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Boo to You Too! Winnie the Pooh playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can i watch Key to the City  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate Gota's War a one  [predicted:  GetWeather ; correct:  RateBook ]
When is Brick showing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you get me The Border Patrol song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put this song on legendary guitar solos  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
I'd give A Man Called Ove a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
show movie The Skeptic – Das teuflische Haus  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Give me an album from 1972 to listen to.  [predicted:  GetWeather ; correct:  PlayMusic ]
I need to know when Sensation in Morgan’s Creek is playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the movie Girl on the Trapeze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear the top 5 Jamie Lidell songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
show me the movie Haunted Spooks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What time is Sontha Ooru playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please pull up Nothing Feels Good  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is AMC Theaters showing Crime on the Hill?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
mark this album a score of 5  [predicted:  GetWeather ; correct:  RateBook ]
I'd like to watch Army at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for A Kiss Before Dying.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate All That Remains a five  [predicted:  GetWeather ; correct:  RateBook ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
Rate The Making of a Teacher a two  [predicted:  GetWeather ; correct:  RateBook ]
Please look up the song, Twist of shadows.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time is Children of Divorce playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put A L Lloyd on gaming anthems  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find the schedule for The Kentuckians.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to the saga The Quantum Thief  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch Heartbreak at Pacific Theatres at two pm  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I'd like to see The River of Stars TV series  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
give two star to As Long as We Both Shall Live book  [predicted:  BookRestaurant ; correct:  RateBook ]
Rate the Nova Scotia: New Scottish Speculative Fiction saga a 5  [predicted:  BookRestaurant ; correct:  RateBook ]
this album is the last and rated five  [predicted:  BookRestaurant ; correct:  RateBook ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show the Three Tales album  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Let's hear stuff from Andrew Hewitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
Give ma list of films at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is Dive Bomber playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is The Tale of the Fox playing near me  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate Therapy a zero  [predicted:  GetWeather ; correct:  RateBook ]
Play artist stu davis from the album Dub Chamber 3 on Netflix  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What films are scheduled around here?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is The Creators showing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
put glenn stetson to my your daily routine playlis  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play the 2014 album from la lupe  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the schedule for The Pearl of Cleopatra.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is The Phoenix Project playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the top five Cemil Bey songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  GetWeather ; correct:  PlayMusic ]
Asiate restaurant in Sturgeon for 7  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Tomorrow at Seven being played at Douglas Theatre Company?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Road to the Stage playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Natural a 4  [predicted:  GetWeather ; correct:  RateBook ]
Where is Project A Part II playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
read the Black-Body Theory and the Quantum Discontinuity novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the films at ArcLight Hollywood.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
My Idea of Fun is a book that should get 2 stars.  [predicted:  BookRestaurant ; correct:  RateBook ]
when can I see Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is For One Night playing at Loews Cineplex Entertainment?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the album Blood of Emeralds – The Very Best of Gary Moore Part 2  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Give me the showtimes for The Rum Diary at MJR Theatres at meal time.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What AMC Theaters is The Red Dance playing at?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you find me the movie The Countess?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the schedule for Metallica Through the Never.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Do Sher playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need work of Father Dearest  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time will Paris by Night aired  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the novel The Last of Sheila  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please look up The Lakes of Canada album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
