I want to listen to an album from Sibel.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Schedule the food truck to be at your place in the distant future.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find a movie called October Road  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a reservation in Deweese for my sister and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What will the weather be at my current location on december the 2nd, 2029  [predicted:  RateBook ; correct:  GetWeather ]
Play trailer of Do Whatever Turns You On  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will there be snowfall at the current location at 3 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
will the weather be cloudy at 0 PM at my current position  [predicted:  RateBook ; correct:  GetWeather ]
Will it be warmer at 2 pm at the Ak-Suu Complex Nature Reserve  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the weather for my current place  [predicted:  RateBook ; correct:  GetWeather ]
Will it be freezing close to my current location  [predicted:  RateBook ; correct:  GetWeather ]
Will it be hotter at my current place at 02:22:32 pm  [predicted:  RateBook ; correct:  GetWeather ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is One by One playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the Vic Damone album named Tuonela  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
read the Background to Danger book  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me the song 2 Fast 2 Furious  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want to eat in 19 hours  at NM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to hear the album Live In Munich by Laura Love.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I get the novel Flesh-Colored Horror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the Paranormal Activity: Ghost Dimension album?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be overcast at lunch time in Saint Vincent and the Grenadines  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be windy at 7 AM in Dong Phou Vieng National Protected Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What time does Tie a Yellow Ribbon play at Magic Johnson Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The New Retro playlist on Netflix.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it get chillier in Las Lomas, British Virgin Islands on Nov. the 21st?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Need to see if there will be fog  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I view the picture Reaching Horizons  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me showtimes at the cinema for Chain of Events.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Book a bakery at zero o'clock for 5 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
What's the weather going to be like near Sawtooth National Recreation Area at 2 pm?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Look up The Stars Are Indifferent to Astronomy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be foggy in the same area of Parc provincial Kettle Lakes on february the thirteenth, 2018?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me a forecast for French Polynesia  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play the top-20 best Chicane songs on Deezer  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What will the humidity be like on june eighteenth in my current location  [predicted:  RateBook ; correct:  GetWeather ]
I want global top 50 to have marit bergman added to it.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Check the forecast for the current spot in the future Oct. 19, 2037.  [predicted:  RateBook ; correct:  GetWeather ]
Will it get rainy like last March in Hagerman, Saint Vincent and the Grenadines?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the book Sell Your Body?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Tell me if it'll be humid at eighteen o'clock in my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Find the schedule for for The Unnaturals at 13.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me a coffeehouse for nine in Indiana that has access to a pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
give two star to As Long as We Both Shall Live book  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it get chillier in 12 years  in Greenland?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
What will it be like in six PM at the current place  [predicted:  RateBook ; correct:  GetWeather ]
insert Rock Me UP song to my list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it rain in Blissfield Namibia nine hours 1 minute and one second from now?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Buy novel Brokeback Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is there a depression in weather at my current spot  [predicted:  RateBook ; correct:  GetWeather ]
use Vimeo to play De Camino a Clase playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
She me the weather in the current place for nov. the 9th  [predicted:  RateBook ; correct:  GetWeather ]
Search for High Chicago  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Search for Polish Assault  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like a new england added to Classical Moments in Movies.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be a storm on Christmas Day in my current place?  [predicted:  RateBook ; correct:  GetWeather ]
play the album Winner Takes All by Takuro with Last Fm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Book The Electric Banana in Ewen for crystal and brittney.  [predicted:  GetWeather ; correct:  BookRestaurant ]
add repent replenish repeat to Classical Moments in Movies  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
table for 6 at a brasserie  [predicted:  RateBook ; correct:  BookRestaurant ]
is it going to get colder in Parc national marin Mahatma Gandhi  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is it humid in Parc national de Killarney  [predicted:  PlayMusic ; correct:  GetWeather ]
is Unbeatable Harold at Century Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show weather while Sunset in the same area in South Carolina  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find the novel WWE Legends of WrestleMania  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
search for the song Banquet for the Damned  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Itunes album mondovisione  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it be cloudy in Lenzburg, Papua New Guinea  [predicted:  PlayMusic ; correct:  GetWeather ]
play the best album from the seventies  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play a tune or two from Kansas City, Missouri  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Read The Open Ecology Journal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
Open pandora and play the top five melody by Hanna Sjedokowa  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it get hotter in the city of Ashford?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
when this evening is Casa Amor: Exclusive for Ladies playing and where  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
book at The Halal Guys on Oct. 17  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want If I Could Be with You added to mellow dinner  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Who was the artist who did the painting called Spyro 2: Season of Flame?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Is it going to be nice at 6 AM at Chippewa Lake  [predicted:  RateBook ; correct:  GetWeather ]
Could you play the album B Men Gahō by Nathaniel Shilkret  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me the picture Written in the Stars  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it get chillier in Sinclair in 8 hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play some music from the last album of 1988 on Lastfm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Open Zvooq and play the best songs from Device  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can i use Lastfm to listen to Twilight Time by Dj Khalil?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
restaurant in Watauga for me and my aunt  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a Boon Brick Store for my grandkid and I at Evans Mills  [predicted:  GetWeather ; correct:  BookRestaurant ]
Give The Phantom Ship a zero.  [predicted:  GetWeather ; correct:  RateBook ]
Will it get chillier in Furano-Ashibetsu Prefectural Natural Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
rate this book titled The Silver Chalice a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Sort to the last song on playlist from 1983 a chant by Mark Oliver Everett  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
will it get chillier within walking distance of PW  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it be hot in New York on october the 1st, 2026?  [predicted:  PlayMusic ; correct:  GetWeather ]
What will be the wind speed around Pembina Gorge State Recreation Area October the 27th?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
is it humid in Humboldt Bay National Wildlife Refuge  [predicted:  PlayMusic ; correct:  GetWeather ]
Is it warm in the current spot?  [predicted:  RateBook ; correct:  GetWeather ]
laura and I want to eat somewhere in Gibraltar on April eleventh, 2033  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I view the photograph The Phantom Horse  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to go see A Troll in Central Park.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be colder in the Apache-Sitgreaves National Forest at 6 Pm .  [predicted:  RateBook ; correct:  GetWeather ]
Play Dave Wyndorf album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
listen to Pmd symphony  [predicted:  GetWeather ; correct:  PlayMusic ]
play the album Wayning Moments by Rabbit Brown  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play the album Pressure Cracks with Netflix  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show The Family from One End Street album  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the forecast for my current place at 23 o'clock  [predicted:  RateBook ; correct:  GetWeather ]
Show me a novel by Onnaam Muhurtham  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What's the forecast for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
what is the current position forecast for starting on July 22  [predicted:  RateBook ; correct:  GetWeather ]
Will there be rainfall in Ryland Heights New York?  [predicted:  PlayMusic ; correct:  GetWeather ]
Play a top 5 song from Wally Bastian on Google Music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Go to Your Heart Belongs to Me  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
look up Holy Water  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to hear an album from 2010  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me the showtimes for How to Commit Marriage.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
renee sanders, marlene and jewel want to go to a gastropub in the spa  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be hot in my current location this week?  [predicted:  RateBook ; correct:  GetWeather ]
Search for Another Cinderella Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to hear music from the Lotus Flower album by Andy Mccoy  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it be hot near Calakmul Biosphere Reserve 3 seconds from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to watch In High Places  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Look for Global Clubbing: The Netherlands.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm in MI and want to eat somwhere nearby Midday.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate the book An Appeal from the New to the Old Whigs a 0  [predicted:  BookRestaurant ; correct:  RateBook ]
Play the best Sebastian Karlsson melody on Youtube  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  GetWeather ; correct:  PlayMusic ]
Look up The Park album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to hear Jimmy James from the thirties, play a song on Groove Shark.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please make reservations for me and my roommate somewhere in Bouvet Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Something by Danielle Polanco in 1986  [predicted:  GetWeather ; correct:  PlayMusic ]
Will it get windy close by here?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to watch Fist of the North Star 1 minute from now  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I want to give Gay Male Pornography: An Issue of Sex Discrimination a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
will it get warmer in Centenary around the Evening?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can I get the Cineplex Odeon Corporation showings for Small Town Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to eat in Montana on 10/22/2030  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where is picture Everybody Wants You  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it be sunny in Occoquan Bay National Wildlife Refuge by tea time?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play Richard Thompson from the thirties song book  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
How snowy will it be in this current place on Feb. first, 2034?  [predicted:  RateBook ; correct:  GetWeather ]
find the novel The Thunder Rolls  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What will it feel like in the current place in July  [predicted:  RateBook ; correct:  GetWeather ]
where is The Adventure of the Yellow Curl Papers playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
want to find the novel called Innocent Until Caught 2: Guilty  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is The Umbrellas of Cherbourg playing near me?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Tell me where I can watch Common Law Cabin  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
Can you play the Star Tales album by Colleen?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Show me the forecast for Anatone Louisiana on November 7th  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
She me the Sons of Satan Praise the Lord picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to watch the trailer to Worms 2: Armageddon.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Let's listen to the best from Jeff Loomis.  [predicted:  GetWeather ; correct:  PlayMusic ]
book in Vermont at The Maisonette  [predicted:  GetWeather ; correct:  BookRestaurant ]
Use service Vimeo to play music from the artist Mick track Now We Are 5  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What will the weather be in the current location on Feb. the twenty-eighth, 2026?  [predicted:  RateBook ; correct:  GetWeather ]
At meal time while I'm here will it be hot?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it get hotter around elevenses in KS?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can i see the Encounters?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
How can I view the show Corpus: A Home Movie About Selena?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
The A Mighty Fortress series should be rated a two  [predicted:  BookRestaurant ; correct:  RateBook ]
find me a restaurant in Pembine Montana  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
When is Just Before Nightfall playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When was the soundtrack for Those Were the Days – The Best of Leningrad Cowboys published?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Feast II: No Limit playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Wish You Were Here, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is Gods of Metal playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please start playing some thirties theme music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Gods and Pawns should get a three  [predicted:  GetWeather ; correct:  RateBook ]
table for 6 at a bar  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the best ballad by The Rascals.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Elliot Easton's album Beautiful  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show weather forecast nearby Elk City State Park  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Tell me if there will be hail at tea time in Nordland  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I get the showings for Mysterious Crossing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a coffeehouse in Illinois for three  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play the album Jack Takes The Floor by Tom Lehrer on netflix  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a popular moroccan cafeteria  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to watch the movie X Window Display Manager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what's the closest cinema playing Six Days: Three Activists, Three Wars, One Dream at sunrise  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
when can i see Red Hot Tires  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
can i lesten to the latest album of T-bone Burnett  [predicted:  GetWeather ; correct:  PlayMusic ]
Play One Good Reason by Tommy Flanagan on Itunes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
Will it be freezing in New Preston Venezuela?  [predicted:  PlayMusic ; correct:  GetWeather ]
When is Watchman Vadivel playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I buy the soundtrack Bridge of Souls  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will there be sun at four PM at Runkaus Strict Nature Reserve  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the Graduate Faculty Philosophy Journal album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the album entitled Se Potrei Avere Te.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the best sort by Jan Robbe on pandora  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show the forecast for Tanintharyi Nature Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it be warm in the current place next spring  [predicted:  RateBook ; correct:  GetWeather ]
which day this week will it get chilly in Palmetto, IN  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
hannah lewis and chelsea want to go to a cafe in Botswana on Apr. the seventeenth, 2024  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
is there a table available for my daughters and I at The Octagon, Christchurch  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I find the movie The National Law Review  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
include pat smear on Guest List Engadget  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play The Lousy Dance trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to hear music from carman from the 1966 album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put Kan Mikami on Pre-Party R&B Jams  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Party Anthems  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me the novel of A Dictionary of Slang and Unconventional English  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
SCORE:  2857 / 3140  ( 0.9098726114649681 )
is Terminal Station at Cinemark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it cold in the current location more than it was in 3 years  [predicted:  RateBook ; correct:  GetWeather ]
I want to hear the album Picchio Dal Pozzo from Con Hunley  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to go see A Troll in Central Park.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find The Cartel Vol. 2 novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
