Find me a soundtrack by Ghost Town Prophecy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Add d flame to the Dcode2016 playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add Karin Dreijer Andersson in Escapada album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Young Miss Holmes  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play my Jazz Brasileiro playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
looking for Liberalism and the Limits of Justice  [predicted:  RateBook ; correct:  SearchCreativeWork ]
put Edwyn Collins onto my Trabajo Relax playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
rate The Sail and Steam Navy List 5 stars  [predicted:  PlayMusic ; correct:  RateBook ]
Add Love and Its Opposite to my Alta Frecuencia playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it nice in PW  [predicted:  PlayMusic ; correct:  GetWeather ]
Is cloudy in Lyncourt?  [predicted:  PlayMusic ; correct:  GetWeather ]
Put this Lidell Townsell track on esenciales  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
John Ross House restaurant in town and close-by  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Add John Tesh to my salsa classics playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Rate The Hard Life 0 stars  [predicted:  PlayMusic ; correct:  RateBook ]
I want to know the temperate from January the twentieth in Brazil  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I need to see Cristo in India  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
FInd trailer for Iraq for Sale: The War Profiteers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Humour  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Rate current series one  [predicted:  PlayMusic ; correct:  RateBook ]
add naomi schemer to my Hanging Out and Relaxing  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add carla's OopDeeWopDee in Funk Rock  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show game Alien Breed II - The Horror Continues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play playlist A Mis Niños de 30  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show creative Last Light  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
How is faraway cloudy at 02:45 am in Brumley?  [predicted:  PlayMusic ; correct:  GetWeather ]
rate The Chymical Wedding 3 points  [predicted:  PlayMusic ; correct:  RateBook ]
Find the Pop Has Freed Us saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Just Before Nightfall playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
rate How to Eat Fried Worms two stars  [predicted:  PlayMusic ; correct:  RateBook ]
Add Testifying to  donna's tokyo rising palylist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add armand van helden to my black sabbath the ozzy years playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Weather for South Williamsport  [predicted:  PlayMusic ; correct:  GetWeather ]
find Cascading Waterfall  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Exile and the Kingdom  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put this shelter from the storm on r&b party classics  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Think: act  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Masahiro Nakai track in playlist Modern Psychedelia  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Der K und K Kalypso aus Wien to vonda's playlist Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the man who sold the world from Steve Swell  [predicted:  RateBook ; correct:  PlayMusic ]
I need work of Father Dearest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add nour mhanna to workday lounge  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add the man who never lied to my current comedy top tracks  [predicted:  RateBook ; correct:  AddToPlaylist ]
show me the movie Haunted Spooks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book the Chapter One in Bosnia and Herzegovina for patti, hester richardson and camille  [predicted:  GetWeather ; correct:  BookRestaurant ]
find a Love song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add agua y sal in Classic Jazz Funk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play my De Camino playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find nearby movies  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want food in Zaleski  [predicted:  PlayMusic ; correct:  GetWeather ]
Show me the Dresden weather forecast.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
search for Pat and Margaret  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add song in playlist Metal Monday  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Book Georgetown Cupcake in Keller for tea time.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Go to After Dusk They Come  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Madchild to Electro Latino  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add to whom it may concern to the Warm Hearts Feel Good playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is it snowy in Ocean Shores  [predicted:  PlayMusic ; correct:  GetWeather ]
add paula abdul to Classic Acoustic playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Weather for apr. the thirteenth in Djibouti  [predicted:  BookRestaurant ; correct:  GetWeather ]
I give Warheart 5 stars.  [predicted:  PlayMusic ; correct:  RateBook ]
Rate trailer Geek Chic  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Long Hello and Short Goodbye, a movie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Anweshaa by the new first.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Add karusellen to jazz brasileiro  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please place Misato Watanabe onto my Def Jam Old School Classics playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Put new page onto my latin jazz playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me the movie Purple Heart Diary.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add autry inman to my Hanging Out and Relaxing playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the Sing When You’re Winning TV show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see the MAXIMUM TRANCE picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can I get a restaurant reserved in Luquillo, District Of Columbia?  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
play TV show Way of the Samurai 2  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Goodbye Mr. Chips showing twelve minutes from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me The Atrocity Exhibition  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Unfinished portrait of General Bonaparte  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate The Starship Trap 5 stars  [predicted:  PlayMusic ; correct:  RateBook ]
play Spotify  [predicted:  BookRestaurant ; correct:  PlayMusic ]
What is Marty Stuart discography  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add you are i am to the trending playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Book a maharashtrian restaurant please.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Find Returned to Your Mind.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
look up Adobe Brackets soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Luiza Possi to my bachelor party playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Saint in New York, a show  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to go see The Trouble with Girls  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Pull up Sweeney Todd - Il diabolico barbiere di Fleet Street  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add this raffaele riefoli tune to Deathcore  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Show me It Might as Well Rain Until September  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
is Cape Mount Nature Conservation Unit has storm weather  [predicted:  PlayMusic ; correct:  GetWeather ]
Is it snowy in DeMotte MS  [predicted:  PlayMusic ; correct:  GetWeather ]
play Escapada  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Find by title Champagne Showers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please add carmel to my lunchtime playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Get me a Johnny Cool photograph  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is Party All Night  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Live in Tokyo for me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please put maimi yajima's song onto Operación Bikini.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
The Bone Season is worth at least three points  [predicted:  PlayMusic ; correct:  RateBook ]
book of Two for the Road  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the cheapest online price for the Instincts saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please add Lifetracks to motivation mix  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find The Dressmaker.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Covered Wagon, a game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find Reverence for me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Tunnel of Love to ethel's metal crash course palylist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
TV series for The Thirty Nine Steps?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add One Good Reason to the bachelor party playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Blue Sky and the Devil to mai's Infantil playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Later That Evening  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What's the forecase for Inverness on February 5th, 2031?  [predicted:  PlayMusic ; correct:  GetWeather ]
Rate Seven Pillars of Wisdom two points  [predicted:  PlayMusic ; correct:  RateBook ]
rate What the Dog Saw a two  [predicted:  PlayMusic ; correct:  RateBook ]
Show The Information: A History picture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
rate Hunting and Gathering a two  [predicted:  PlayMusic ; correct:  RateBook ]
Show Acta Mathematicae Applicatae Sinica TV show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Projections, an album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please pull up Nothing Feels Good  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Fields of Sacrifice movie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate The Gutting of Couffignal one points  [predicted:  PlayMusic ; correct:  RateBook ]
Find The Cartel Vol. 2 novel  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add bilal to winter  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add a Pop song of Yoshiaki Hoshi  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
please add george nooks to my electronow playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Rate Book of the Dead three stars  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Go to BioRuby  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find movie titled Triumph of the Spirit  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put No Mystery into my Punk Essentials playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Brandy in the Wilderness  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is Arthur 2 – On the Rocks playing at 20:44?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Show me Horton and the Kwuggerbug and More Lost Stories  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
4 points for Four Upbuilding Discourses, 1844  [predicted:  PlayMusic ; correct:  RateBook ]
add Ian Stuart Donaldson to canadian country  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Kd lang to my Deep Focus playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Search for Man in a Garage  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add Live from Aragon Ballroom to Trapeo  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add paulinho da viola to my Radio Rock song list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show me Happiness Was Free.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show creative soundtrack Pitch Black Brigade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the Read All About It picture?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find The Black Girl in Search of God trailer  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Add ilse delange to my journey playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the soundtrack that Tom Bellamy contributed to  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is the television show Phil Ochs: There but for Fortune playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play This Is: Animal Collective please  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add The Greyest of Blue Skies in Indie Español my playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Give Home from the Hill a 3  [predicted:  PlayMusic ; correct:  RateBook ]
Add daigo to indietronic  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
give zero star for current album  [predicted:  PlayMusic ; correct:  RateBook ]
Play my Under The Surface playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Open my acoustic concentration playlist and play an entire album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show me the A-Myin-thit TV series  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
There's a famous painting called Thursday, do you have an image of it?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add qad el horoof to night playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
show freezing forcast now within the same area in North Dakota  [predicted:  BookRestaurant ; correct:  GetWeather ]
Put il y aura toujours des violons onto my dixieland classics playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When's Fools for Luck showing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Me. I Am Mariah… The Elusive Chanteuse  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book in one hour within walking distance of a restaurant downtown  [predicted:  GetWeather ; correct:  BookRestaurant ]
add Yamataka Eye to my sophisticated dinner playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show The drive of life album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add brad kane to the Pumping Iron soundtrack.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Come on Feel the Lemonheads to my salsa classics playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where the Sky Meets the Land time playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want to see Far Cry Vengeance  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
