Can you please get me the book Dracula 5: The Blood Legacy?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Outcast.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please play my Happy House playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to an album from Sibel.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Acoustic Covers playlist on Spotify.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Jazz Brasileiro playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time is I Know That You Know That I Know lpaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play my Hot 50 playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I see No Time to Die?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can i watch Key to the City  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Praise The Lord And Pass The Ammunition.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
i want to see JLA Adventures: Trapped In Time  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Party All Night  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What time is In Old New Mexico showing today?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give me the showtimes for Sign of the Anchor.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Where can I see The Prime Ministers: The Pioneers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  2983 / 3129  ( 0.9533397251518057 )
find Cover Her Face  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the show Migration  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the movie I Want My MTV: The Uncensored Story of the Music Video Revolution  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Once Upon a Time in the West  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Strange Brother  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the movie Post Inferno Soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Return to Krondor.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show The Taste  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Make Your Play  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Lure of the Mask song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show schedule for Cin cin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I find the picture of House Foundation  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I get Intel Array Building Blocks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Show The Lateness of the Hour  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Wide-Eyed and Ignorant  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see the show Onion SportsDome  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the game Piety Street  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Love in a Mist?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see the show Twentysomething  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the price for the album Praise the Lord and Pass the Ammunition?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
the next book is worth two  [predicted:  BookRestaurant ; correct:  RateBook ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Rest of My Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the movie White Christmas  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the soundtrack Bed of Roses  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find NHL on Fox  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find the movie Don’t Break the Heart That Loves You  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show creativity of The House of the Dead  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see Confessions of an Indian Teenager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Stays in Mexico.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
get me House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you please get me the book Dracula 5: The Blood Legacy?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where can I listen to the song The Imposter?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
looking for Free Four: Tobias Tells the Divergent Knife-Throwing Scene  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play the Putrefactive Infestation trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the soundtrack for Nothing Personal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to read the book The Minotaur  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play the Caps Lock trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see the show Kind of Glue?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Blood Moon: Year of the Wolf, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show Thousand Miles movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the Hell of a Life movie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me an album by Lunchbox  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Give me a link to the A Little Something for Us Tempunauts soundtrack.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What type of movie  is Houston Press?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find To Each His Own Cinema, an album  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me the I Can Hear the Sea movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I purchase Wuthering Heights  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find At This Point in Time  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Next of Kin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch the movie Godslayer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Flying Scotsman  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Jono and Ben  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can you pull up the American Music Awards of 1975  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to the movie The Best of Pirates of the Mississippi  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to hear the song Impractical Jokers UK  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the movie Operetta for the Theatre Organ  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to dine in Luray  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will there be a blizzard in White House Curacao  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want to listen to the song First Time for Everything  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch Manthan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me the movie Sonic Triple Trouble  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me a trailer for The North-West Passage  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I listen to the soundtrack of Gibraltar: Britain in the Sun  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Please find the movie, A Jingle with Jillian.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see the book City University of Hong Kong Law Review  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to listen to the song The Loving Spirit  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate trailer Geek Chic  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
SCORE:  3033 / 3140  ( 0.9659235668789808 )
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to read the book The Minotaur  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Party All Night  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Plan an album by Roni Duani.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open my acoustic concentration playlist and play an entire album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Long Hello and Short Goodbye, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me a trailer for The North-West Passage  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
show me the movie Haunted Spooks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Young Miss Holmes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find me a movie with the name Oshin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find the movie Yoshimi Battles the Hip-Hop Robots  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see Level Headed  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to hear the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to watch the movie Godslayer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play my 70s Smash Hits playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to listen to the soundtrack The Om Years  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Just Like in the Old Country  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Fine a movie called Right Here Right Now.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
