Go to Your Heart Belongs to Me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book table on the 23 in Illinois at the Maison Parthenais-Perrault II.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I find Sebastien Grainger & The Mountains  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Seven Steps To Heaven by Wikluh Sky  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Please look up for the work titled We Own The Night.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to hear something from Post-punk Revival  [predicted:  RateBook ; correct:  PlayMusic ]
play Latin Dinner  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you find me work, Stairway to Heaven?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Wish to read the novel called The Wizard of Stone Mountain  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find the show The Best of: The Township Idols  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what will the weather be for Hooksett  [predicted:  RateBook ; correct:  GetWeather ]
play Moustapha Amar Make It Rain  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Is there a creative work with the title The Lonesome Death of Buck McCoy  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Try Me Out for me  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find In the Line of Duty: Street War.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
look for the creative work The Testament of Gideon Mack  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I'm looking for you to get me Jack of Shadows.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
What is the forecasted weather for Ninaview?  [predicted:  RateBook ; correct:  GetWeather ]
Play The Birds And The Bees by Ceca.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Can yo find me the game A Silence That Screams?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play These Four Walls by Yummy Bingham.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Where and at what time can I see Paragraphe 78  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Wish to find a novel called African Holocaust  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Oman Medical Journal  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to know the weather in ten weeks from now in John N and Melba S Anderson Memorial Conservation Area  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play Adieu by Al Arsenault  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Where can I find the creative works The Very Best of Simply Red  [predicted:  RateBook ; correct:  SearchCreativeWork ]
look for the creative work Meltdown – Days of Destruction  [predicted:  RateBook ; correct:  SearchCreativeWork ]
will you add Pat Kirtley to my covered in punk playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add hopeful to my this is enrique iglesias  [predicted:  RateBook ; correct:  AddToPlaylist ]
I need a weather update now for Manhattan Project National Historical Park  [predicted:  RateBook ; correct:  GetWeather ]
Give me the forecast for the weather in Citrus Springs  [predicted:  RateBook ; correct:  GetWeather ]
I need to see Cristo in India  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Need a creative work with the title Unholy Confessions  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Can you play some music by Abatte Barihun?  [predicted:  RateBook ; correct:  PlayMusic ]
find Valley of the Dolls  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Make me a reservation in Colorado at nine am at National Cash Register Building  [predicted:  GetWeather ; correct:  BookRestaurant ]
show movie CrossGenesis  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Racing the Beam: The Atari Video Computer System  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find the Fields of Sacrifice movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Piano 100  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play In The Disco by Danny Hutton  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find Changes: A Love Story.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play Soheila Zaland  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
How is weather here?  [predicted:  RateBook ; correct:  GetWeather ]
Find The Last Angry Moose  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Endless Horizons  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Want a work called Walk the River  [predicted:  RateBook ; correct:  SearchCreativeWork ]
book a table for seven during our Thailand trip that is within walking distance of our hotel.  [predicted:  GetWeather ; correct:  BookRestaurant ]
play The New Noise Theology E.P.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  RateBook ; correct:  PlayMusic ]
Play Inside The Eye by twinkie clark  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Please search the title The Twilight Saga: Breaking Dawn Part 2.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Where can I find Conduct Unbecoming?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find The Gamblers  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Is there any creative work for Heterocycles?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find The Saint in New York, a show  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find a book called Outpost Firewall Pro  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Alone, Again from Mike Viola  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a work with the name of Come Sing  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I need to know what the weather will be like in Gradyville at breakfast, in the state of Colorado.  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to eat somewhere that is faraway from Iowa.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Belle of the Yukon  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Play Richard Fortus' Live Collection.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play Cry Baby Lane  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Soldier Boy from Melody Gardot  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I need to hear the new Kevin Fowler album  [predicted:  RateBook ; correct:  PlayMusic ]
Play Rap Album One by Gene Vincent.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play Out From Under from Hurricane Chris  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play Marche Lorraine by Rachael Lampa  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find me Haunted Castle  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need some Hardcore Hip Hop  [predicted:  RateBook ; correct:  PlayMusic ]
find A man needs a maid  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Play Contigo En La Distancia  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find the Blood Red Sandman  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add olympia 1959 to from the delta to chicago  [predicted:  RateBook ; correct:  AddToPlaylist ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
What's the weather supposed to be like in Elmer City  [predicted:  RateBook ; correct:  GetWeather ]
Add album to Acoustic Spring  [predicted:  RateBook ; correct:  AddToPlaylist ]
I need reservations at a restaurant at 20 o'clock in FM  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Crazy=genius by The Alchemist  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'm looking for the work titled Converging Conspiracies  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play Lighter by Pamela Jintana Racine  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play Frankie Laine  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play Ocean Beach from paul delay.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Show me NCAA College Football 2K3  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
in a week  make a reservation for a table of 7 in District Of Columbia  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Moondog's Chupacabra.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play Apbl98 by Alden Penner.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play Elastic Love by Junior Marvin  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
add Días Felices to my todo reggaeton playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Book Childs Restaurants in Bruno for 1 person on October 6th, 2019.  [predicted:  RateBook ; correct:  BookRestaurant ]
me and robin need reservations for somewhere in Palau  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Post Garage Wave Revival playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Terror Within  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Book a reservation for Can Fabes nearby Namibia  [predicted:  GetWeather ; correct:  BookRestaurant ]
show the show The Son of Tarzan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the weather going to be like on st. patrick's day?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me The Tivington Nott  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Just South of Heaven  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find FANatic.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Harel Skaat  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like to see Apartment Hunting.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play robin hood and the bishop of hereford by Jon Mayer  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like to eat with a party of 8 in Hitchita OR  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please find Brand New Strings  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Clash of the Codes.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Sappho  [predicted:  RateBook ; correct:  SearchCreativeWork ]
How is the weather going to be on child health day in Trinidad and Tobago?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Let's listen to Matthew Shipp.  [predicted:  RateBook ; correct:  PlayMusic ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Tell me the weather forecast in Greensburg  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please find the Packed to the Rafters work.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
how's the weather here at two Am  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play Shake Your Head  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  RateBook ; correct:  PlayMusic ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Play Funky Heavy Bluesy  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you please find me the work, The Holy Man?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Where is Winterheart’s Guild  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What's the weather at eleven PM in Craig Mountain Wildlife Management Area  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play Donna Summer  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play The Insoc Ep  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is there a program about The Last Flight?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Want to find a creative work called The Prayer  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find the Son of Man show  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Burhøns by Ernie C.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
add a mina caputo album to my after hours party  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Chant Down Babylon: The Island Anthology  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Show me the weather forecast for the city of Spencer  [predicted:  RateBook ; correct:  GetWeather ]
Find the work Compiled fragments 1997-2003  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find a saga called Set Sail the Prairie  [predicted:  RateBook ; correct:  SearchCreativeWork ]
add The Open Door to autumn music  [predicted:  RateBook ; correct:  AddToPlaylist ]
What will the weathr be in Akin Jamaica?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play The Soft Parade.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I give it a rating value of four to 6 to a book called Liberalism and the Limits of Justice  [predicted:  BookRestaurant ; correct:  RateBook ]
tell me how Bellwood weather is  [predicted:  RateBook ; correct:  GetWeather ]
add ths album to my Pachangueo Total  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
show That Little Band of Gold  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Looking for the creative work with the name of With or Without Your Help  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find book The Music Lovers  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Search The Olympic Champ book.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Can you get a table at The Triple Door in District Of Columbia for me and deborah vasquez  [predicted:  GetWeather ; correct:  BookRestaurant ]
find the movie Shake Your Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play teri meri by Josh White  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play Classical X  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music from artist Ashley  [predicted:  RateBook ; correct:  PlayMusic ]
I need a table somewhere in Culver City WA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find The Case of the Frightened Lady.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me an album called Rejoicing with the Light  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Robin Hood Rescuing Three Squires by Bhupinder Singh  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
She me the forecast for Clayton Lake State Park on Oct. 17th  [predicted:  RateBook ; correct:  GetWeather ]
Play Someday Soon by fiona  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play Wanted by Erykah Badu  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find the show Trancers  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Ramakadha by Karl Davydov please  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Help me search the work, American Hot Wax.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Gaston by Daniel De Los Reyes.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Put frank portman in my playlist GOOD Music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I need to find the work Brotherly Love  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I'm looking to book a table at a place in Newton Falls, prefereably within the same area that has space for 6  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show me Happiness Was Free.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add The Go Find to Sólo para dos  [predicted:  RateBook ; correct:  AddToPlaylist ]
add armistead burwell smith iv to Blues Masters  [predicted:  RateBook ; correct:  AddToPlaylist ]
Can you search for Twilight Is Gone?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
this track should go on my evening chill playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
what's the weather going tbe twenty three minutes from now in Federico Albert National Reserve  [predicted:  RateBook ; correct:  GetWeather ]
Find me the Travel Weekly  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find A New Machine  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Book a restasurant in Pohick Delaware.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Show me Dangers of the Canadian Mounted  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Escapada  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Llegando a Casa playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the weather going to be at dinner time in the Lake Le-Aqua-Na State Recreation Area  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play tuomas holopainen's The 21 Project.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find Ek Boond Ishq.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find the Show Your Hand show  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I am looking for any creative work with the title of Journal of Pharmacy and Pharmacology  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I'd like to see Walk on the Wild Side: The Best of Lou Reed  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find All Jets Are Gonna Fall Today saga  [predicted:  RateBook ; correct:  SearchCreativeWork ]
When is sunrise for AR  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play Ik Hou Van Jou by Elena Temnikova  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play Tennessee Saturday Night by Mr. Porter  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play Isham Jones  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
play Live at Leeds  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play March Of The Soviet Tankmen from Gloria Gaither  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Read The Open Ecology Journal  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Time Squared  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Saturday Nights & Sunday Mornings  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like to eat with a party of nine in Snapfinger PA  [predicted:  GetWeather ; correct:  BookRestaurant ]
please add this track to my de camino playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I would like reservations for Giodi's in Piper AZ.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Help me locate The Tristan Betrayal  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I need to book a reservation in Searsport at eleven am  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
SCORE:  2860 / 3140  ( 0.910828025477707 )
Play Apbl98 by Alden Penner.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'm looking for the show called The Origin of the Milky Way  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show The Matrix Revolutions  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find The Inspector for me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me a song by Steve Hackett from Manuel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Join the Dots: B-sides and Rarities  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Journal of the European Economic Association, a movie I want to see  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the soundtrack that Tom Bellamy contributed to  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play All Of Your Toys by Chris Ledoux  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Please find the movie, A Jingle with Jillian.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show creativity In the Red saga  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Eve  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play March Of The Soviet Tankmen from Gloria Gaither  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find a novel called Twins of Evil.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Live at Bonnaroo.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to find a book called Cash-Cash  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
