When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where the Sky Meets the Land time playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let me know when I can watch Actrices.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a restaurant reservation for me and my child for 2 Pm in Faysville  [predicted:  GetWeather ; correct:  BookRestaurant ]
ticket for The Perfect Man at Dickinson Theatres at 10 A.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What's the weather supposed to be like in Elmer City  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where is Among the Great Apes with Michelle Yeoh playing and when  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can I get the showtimes for The Man Who Could Talk to Kids?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
when this evening is Casa Amor: Exclusive for Ladies playing and where  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book a spot at Leopold Cafe in Bhutan  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you play some music from my road trip album  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show weather forcast here at 19  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
my té para tres needs Brave and Crazy added on.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can I get the Butterfly Crush showings  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will the weathr be in Akin Jamaica?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Need table for two in Pleasant City  [predicted:  RateBook ; correct:  BookRestaurant ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please play anything by george formby jr  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to watch In High Places  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
At 8 AM I want to eat at The Rosebud in the Federated States Of Micronesia  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where is Mother and Child plkaying  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add an album called Reggae BBQ in playlist Camu Tao  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you play something off Johan Larsson's Travelers And Thieves  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Make me a reservation at Illinois Central Railroad Freight Depot in Singapore with vickie rodriguez, lila reyes and ruby  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play playlist TODO REGGAETON  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
check the weather for around nine in South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
Do you know of a song by the Mande Studies Association?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is The Singing Nun at Regal Entertainment Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the showtimes for How to Commit Marriage.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what will be the temperature 1 minute and 8 seconds from now in Green Bottom Wildlife Management Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need to add to my metal crash course list the music of El sexto sentido  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can I get the showings for Mysterious Crossing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Add some jim diamond to peace  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Give me the forecast for the weather in Citrus Springs  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where theater is playing The Ranger and the Lady at 10 AM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Book a table somewhere in Dominica for 2 minutes from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play The Lure of the Mask song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see Joy of Learning?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a reservation in Steele City  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
When and where can I watch National Priority?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I watch Gaddar: The Traitor?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want a reservation for 11:16:07 at The Fort in South Carolina.  [predicted:  GetWeather ; correct:  BookRestaurant ]
play The Rest of My Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the weather looking like for December the eleventh, 2034 in MD  [predicted:  BookRestaurant ; correct:  GetWeather ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play something off Rage Radio  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me the showtimes for The Rum Diary at MJR Theatres at meal time.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The Get Going playlist needs another song.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play me an album by Lunchbox  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What time will Paris by Night aired  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Umbrellas of Cherbourg playing near me?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to go see A Troll in Central Park.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find animated movie at Landmark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is White Bim Black Ear  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find and book a table in WV  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you put Musiri Subramania Iyer's song onto the lo-fi love soundtrack?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch May Blossom  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
me and katharine would like to go eat at Jan. 22nd in IA  [predicted:  GetWeather ; correct:  BookRestaurant ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the predicted weather on mar. 27 for Farragut State Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what movie is playing at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you locate the saga for the Ringo Sheena discography  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want to hear something eclectic  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
add ths album to my Pachangueo Total  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
what time can i see The Half Naked Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a forecast for Zachary  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Open the playlist from Sergei Chatschatrjan  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Want to add pacific ocean blues to the playlist named lunch  [predicted:  GetWeather ; correct:  AddToPlaylist ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Unbeatable Harold at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Tell me where I can watch Common Law Cabin  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can this song get added to lunchtime?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will the weather be a nine in Willow River State Park?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Tell me the weather forecast in Greensburg  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find me showtimes for A Christmas Story starting at eleven o'clock.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book Guenther House for 6 on Oct. 24, 2035 in Waddy  [predicted:  RateBook ; correct:  BookRestaurant ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is A Short Film About Killing at North American Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear some trip-hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book reservations at Phase 1 in La Jara  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
The workout playlist needs more chris cross  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the showtime for Arsho  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  2994 / 3140  ( 0.9535031847133758 )
give me some Last Emperor  [predicted:  GetWeather ; correct:  PlayMusic ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where the The Housemaid playing and when  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I find movie schedules  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for Great Mail Robbery.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like reservations made for Masonville, Vermont nov. 7  [predicted:  GetWeather ; correct:  BookRestaurant ]
show movie schedules  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Shattered Image.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a table at the WWE The World in South Korea.  [predicted:  GetWeather ; correct:  BookRestaurant ]
i want to see JLA Adventures: Trapped In Time  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time could I see A Mile in His Shoes?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Let me know when I can watch Actrices.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Wish You Were Dead  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to book a table at Black Horse Tavern in Georgia at 4 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
Let's hear something from Elena Risteska  [predicted:  GetWeather ; correct:  PlayMusic ]
play The Rest of My Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is The Ghost playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will I Think I Do be playing at 7 PM?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please search the title The Twilight Saga: Breaking Dawn Part 2.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I find the movie schedules  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch The Slender Thread at 6 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I watch The Sword of Ali Baba at two p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book a spot in Netherlands Antilles  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to see Outcast.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
IS Anti-Semitism in the 21st Century: The Resurgence playing now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I see Ellis Island Revisited in 1 minute  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to take a party of five today to a place in Colorado  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play the genre Rock Strumentale.  [predicted:  GetWeather ; correct:  PlayMusic ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please play me Jerry Lee Lewis's If You Say So track.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where Can I watch Chaos and Desire?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Dear Old Girl Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Want a table at Monty’s Hotel, Secunderabad  in the state of Vermont  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find the schedule for Grand Canyon Trail.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find five points called The Origins of Virtue  [predicted:  SearchCreativeWork ; correct:  RateBook ]
i need to book a table for three in Lesotho  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book table on the 23 in Illinois at the Maison Parthenais-Perrault II.  [predicted:  GetWeather ; correct:  BookRestaurant ]
When and where can I watch National Priority?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Among the Great Apes with Michelle Yeoh playing and when  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Invisible Child at Southern Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Dipson Theatres with Swiss Army Man at 8 p.m.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Chips in Crouch  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I see The Prime Ministers: The Pioneers  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What are the current showtimes for Love Fiction?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the schedule for Heart Beats.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where can I see A Film with Me in It  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Book a table at the Montreal Pool Room in North Carolina for 7 AM  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is The Butcher Boy playing anywhere at supper time?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear music from the genre Ecossaise  [predicted:  GetWeather ; correct:  PlayMusic ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show movie schedule  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Reserve me seating midday at Bear Hotel  [predicted:  GetWeather ; correct:  BookRestaurant ]
Would like a table right now for leonor mendoza, imogene and lisa sanchez  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show me the schedule for Rat Rod Rockers!  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you check the timings for Super Sweet 16: The Movie?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is White Bim Black Ear  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Love and Other Troubles playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Could I download Chavez: Inside the Coup?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like reservations for Giodi's in Piper AZ.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I see The Somme starting at 16:01:04?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to reserve a table in Northcote.  [predicted:  GetWeather ; correct:  BookRestaurant ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Make me a reservation in Cedarburg at 0 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
what time can i see The Conflicts of Life  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When will the Blonde Ambition be playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a movie schedule.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what theater is showing Trouble in Paradise at 00:45 am  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Those Kids from Town, when will it be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Bernardsville?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Plan an album by Roni Duani.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
For my Crossfit playlist add The Soul Sessions Volume 2  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
ticket for The Perfect Man at Dickinson Theatres at 10 A.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book Guenther House for 6 on Oct. 24, 2035 in Waddy  [predicted:  RateBook ; correct:  BookRestaurant ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
me and katharine would like to go eat at Jan. 22nd in IA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find an art called Cassidy.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is The Missing Clerk playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show me the schedule for The Oblong Box  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see DOA: Dead or Alive at Loews Cineplex Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd say Life in the Iron Mills was a five  [predicted:  BookRestaurant ; correct:  RateBook ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find a movie theatre with Beware of Bachelors  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a reservation at Berowra Waters Inn in Australia in 2 years  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book The Electric Banana in Ewen for crystal and brittney.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is Fast and Loose playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Cowboy Canteen playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Whens the next showing of The Game of Their Lives  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I get the Butterfly Crush showings  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book a table near Bienville for Pioneer Day  [predicted:  GetWeather ; correct:  BookRestaurant ]
show the schedule of Unborn but Forgotten  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like a table for jacqueline wilson and deanna at David Carpenter House in Uncas FM  [predicted:  GetWeather ; correct:  BookRestaurant ]
Make me a reservation in Colorado at nine am at National Cash Register Building  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is The Two Gladiators playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Man Who Won playing at 6 P.M.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can a I get the movie schedule for Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like to see The Heart of a Siren in my movie house  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I get the showtimes for The Scarlet and the Black  at 12 pm.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play something from the genre muzyka pop  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to watch May Blossom  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When will So Happy Together begin playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Could you play the album B Men Gahō by Nathaniel Shilkret  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When can I see The Crew of the Dora  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book a spot that is faraway from the Municipal Borough of Farnworth in 16 minutes  [predicted:  GetWeather ; correct:  BookRestaurant ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book reservations at a restaurant in Olton around supper time  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking to watch Savage Grace at Showcase Cinemas at thirteen o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Ghost World.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Love Is a Ball playing right now?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play my 70s Smash Hits playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Short of Love playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to book a table for me and my boss at Glassy Junction in Turkey.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I need a reservation at The One Eighty for elsa and wendy in Muscle Shoals.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
