Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you get a table at The Triple Door in District Of Columbia for me and deborah vasquez  [predicted:  GetWeather ; correct:  BookRestaurant ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Please get me the work, All Killer.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to eat somewhere that is faraway from Iowa.  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the creative work called Guilt by Association Vol. 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you search the work, Curiosity Quest?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the music Hands Up  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to hear the song Impractical Jokers UK  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What song is Detective Conan: Dimensional Sniper  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What is the predicted weather on mar. 27 for Farragut State Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Start up my Independent Music Monday playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch Miss Congeniality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start playing my Disney playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Book a restasurant in Pohick Delaware.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Need a booking for 6 in OK for the city of Boonton  [predicted:  RateBook ; correct:  BookRestaurant ]
Please get seating for me and my children  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show me the Dresden weather forecast.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch Supernatural: The Unseen Powers of Animals  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Wide-Eyed and Ignorant  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to hear anything from the Rock Symphonique genre please.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to listen to the song The Natural Farmer  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can you get me The Education of Little Tree song?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book a spot at Leopold Cafe in Bhutan  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book Childs Restaurants in Bruno for 1 person on October 6th, 2019.  [predicted:  RateBook ; correct:  BookRestaurant ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
check the weather for around nine in South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
Need to find a creative work with the title Sometimes the Blues Is Just a Passing Bird  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Lure of the Mask song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look up for Disney Universe.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need Top Gear 2, please search it for me.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
SCORE:  3025 / 3140  ( 0.9633757961783439 )
Can you get the weather forecast for New Baden  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where the Sky Meets the Land time playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate trailer Geek Chic  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please check the weather forecast here.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book Itsu for Tonight  [predicted:  RateBook ; correct:  BookRestaurant ]
Tell me where I can watch Common Law Cabin  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you tell me the weather conditions for Patricia  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Please give me the forecast for Branton  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Love In Paris needs some frank farian in the playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to hear something from Post-punk Revival  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What's the forecast for right here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Go to my all out 00s and add brian wilson  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
book of Two for the Road  [predicted:  RateBook ; correct:  SearchCreativeWork ]
What will the weather be a nine in Willow River State Park?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you make a reservation for next year in Modesto for joanna and ella  [predicted:  GetWeather ; correct:  BookRestaurant ]
On lea's saturday night playlist add the name D Generation  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the showtime for Arsho  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me seating for a party of 5  [predicted:  RateBook ; correct:  BookRestaurant ]
book Tartine in Mississippi for 5  [predicted:  RateBook ; correct:  BookRestaurant ]
Will it be nice on Aug. the nineteenth in Beda Bulgaria  [predicted:  BookRestaurant ; correct:  GetWeather ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will the weather be the same here in one week in the same area  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
for my té para tres list add cut the world  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a time of 21 minutes from now for here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to dine in Luray  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  RateBook ; correct:  BookRestaurant ]
Give me weather information for Porcupine Mountains  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
When and where can I watch National Priority?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Who published the novel JamesEdition?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
What's the weather in the Marshall Islands in sixteen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to reserve a table in Northcote.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find a table somewhere for me and my step mother in Graniteville DE  [predicted:  GetWeather ; correct:  BookRestaurant ]
What's the forecase for Inverness on February 5th, 2031?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what movie is playing at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear a track by Theo Keating.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I would like to book Thomas Hynes House for 6 in Minnesota  [predicted:  RateBook ; correct:  BookRestaurant ]
Play something off my New Boots playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the temperate in Beltsville  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What aree the weather conditions not far from Poneto  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Where theater is playing The Ranger and the Lady at 10 AM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I want food in Zaleski  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the showtimes for How to Commit Marriage.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How's the forecast for VI  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want The Complete Global Albums Collection  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Let me know when I can watch Actrices.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what is the forecast for beginning on nov. 17 for Franklinville  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the weather looking like in Prosser on feb. the 18th?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to book a table at Black Horse Tavern in Georgia at 4 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
For the Classic Road Trip Songs add the entity unwelcome  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play music off the track Child Maurice  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let's listen to Matthew Shipp.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
When is sunrise for AR  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What's the weather in the U.S. Virgin Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need a table in one hour from now at somewhere not far from LA  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want the Turbonegro album to go on the playlist called Genuine R&B  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
when this evening is Casa Amor: Exclusive for Ladies playing and where  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the predicted weather for Wells in Indiana?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Belgium located  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Please check the weather forecast near supper time here.  [predicted:  BookRestaurant ; correct:  GetWeather ]
How is the weather going to be this week in Roseau, IA.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can I get The Marine 2 showtimes.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Hows the weather supposed to be on April eleventh close by Lyons Ferry Park  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
show weather forcast here at 19  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How's the forecast for Chad on September 28, 2034  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can I get the showings for Mysterious Crossing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When does Of Stars and Men play?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
What are the showtimes for Boy of Mine  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I would like reservations made for Masonville, Vermont nov. 7  [predicted:  GetWeather ; correct:  BookRestaurant ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can i have the forecast for Bear Rocks Lake Wildlife Management Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I wanna listen to Electroclash  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
SCORE:  3040 / 3140  ( 0.9681528662420382 )
Book a restaurant reservation for me and my child for 2 Pm in Faysville  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need to take three people to eat  [predicted:  RateBook ; correct:  BookRestaurant ]
book City Tavern in Poland  [predicted:  RateBook ; correct:  BookRestaurant ]
add an album called Reggae BBQ in playlist Camu Tao  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play me the soundtrack Ready  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please play my ecstatic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Start playing my Disney playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
laura and I want to eat somewhere in Gibraltar on April eleventh, 2033  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Worms Will Turn running at any movie hall?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Wish to hear the album Since I Saw You Last  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
book a table for a party of 6  [predicted:  RateBook ; correct:  BookRestaurant ]
I need a table in the state of LA for katina and josefina gray  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to hear some trip-hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
please book a room in Spaghetti Warehouse for catalina, delores and brandie mendoza at 12 AM  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Start up my Independent Music Monday playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I get the showings for Mysterious Crossing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
my té para tres needs Brave and Crazy added on.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to listen to Keep the Faith  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play music in the genre soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
table at Nankin Cafe fr one  [predicted:  RateBook ; correct:  BookRestaurant ]
Book osteria restaurant for 1 person in MI.  [predicted:  RateBook ; correct:  BookRestaurant ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the showtimes for How to Commit Marriage.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book Bullfeathers  [predicted:  RateBook ; correct:  BookRestaurant ]
Play the music from the playlist Get Lit  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What are the showtimes for Boy of Mine  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
for my té para tres list add cut the world  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Tell me where I can watch Common Law Cabin  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to book a restaurant in Massachusetts for six p.m.  [predicted:  GetWeather ; correct:  BookRestaurant ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want Sugarfoot  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Play music from the playlist Get Your Mind Right  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play music from the list Indie Electronics  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need reservations in ND in the city of Briarwood for me and my colleagues.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like the weather forecast in Gang Mills four years from now.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Book a reservation at Sunset in Frye Island  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show me the Dresden weather forecast.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
For the Classic Road Trip Songs add the entity unwelcome  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Book a place now for 2  [predicted:  RateBook ; correct:  BookRestaurant ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
She me the forecast for Clayton Lake State Park on Oct. 17th  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please play me something by New Wave Of American Heavy Metal  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play something off Rage Radio  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the weather going to be at dinner time in the Lake Le-Aqua-Na State Recreation Area  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Am looking for a book with the title Free to Play  [predicted:  RateBook ; correct:  SearchCreativeWork ]
What is the showtime for Arsho  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need Top Gear 2, please search it for me.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Pirates of the Caribbean Online  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
check the weather for around nine in South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to see Breathless  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
me and edith want to eat in Coventry Lake  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can you please get me the book Dracula 5: The Blood Legacy?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the music Hands Up  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What does For All the Wrong Reasons look like  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
