Tudo bem  [predicted:  get ; correct:  ok ]
bom dia  [predicted:  get ; correct:  greeting ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
SCORE:  12 / 30  ( 0.4 )
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
para  [predicted:  get ; correct:  cancel ]
Ajuda  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Como funciona  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Beleza  [predicted:  get ; correct:  ok ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Não  [predicted:  get ; correct:  cancel ]
adicionar objeto  [predicted:  get ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
adicionar  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Como eu faço?  [predicted:  get ; correct:  help ]
SCORE:  2 / 30  ( 0.06666666666666667 )
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Novo pacote  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Listar comandos  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
De que vc precisa?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Me ajuda  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
adicionar  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Retirar  [predicted:  get ; correct:  delete ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
sai  [predicted:  get ; correct:  cancel ]
adeus  [predicted:  get ; correct:  bye ]
adicionar objeto  [predicted:  get ; correct:  add ]
parar  [predicted:  get ; correct:  cancel ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Remover  [predicted:  get ; correct:  delete ]
Ótimo!  [predicted:  get ; correct:  ok ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
Encomenda  [predicted:  help ; correct:  get ]
Já se moveu?  [predicted:  help ; correct:  get ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Listar  [predicted:  help ; correct:  get ]
boa noite  [predicted:  help ; correct:  greeting ]
Boa tarde então  [predicted:  help ; correct:  greeting ]
Não  [predicted:  help ; correct:  cancel ]
Lista  [predicted:  help ; correct:  get ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
boa tarde  [predicted:  help ; correct:  greeting ]
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Entrega  [predicted:  help ; correct:  get ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
Quando ao certo chega minha encomenda?  [predicted:  help ; correct:  get ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Me ajuda  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
Como funciona  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
adicionar  [predicted:  get ; correct:  add ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
para  [predicted:  get ; correct:  cancel ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
adeus  [predicted:  get ; correct:  bye ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
adicionar objeto  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
SCORE:  6 / 30  ( 0.2 )
Não  [predicted:  get ; correct:  cancel ]
Até mais  [predicted:  get ; correct:  bye ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  help ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Cadastrar  [predicted:  help ; correct:  add ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
Cadastro  [predicted:  help ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Já cadastrou?  [predicted:  help ; correct:  get ]
adeus  [predicted:  get ; correct:  bye ]
Burro  [predicted:  get ; correct:  bad ]
Listar comandos  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
adicionar  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
Já se moveu?  [predicted:  help ; correct:  get ]
SCORE:  6 / 30  ( 0.2 )
cancelar  [predicted:  get ; correct:  cancel ]
Cadastro de código  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
caralho  [predicted:  get ; correct:  bad ]
Cadastro  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Como funciona  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Como eu faço?  [predicted:  get ; correct:  help ]
sair  [predicted:  get ; correct:  cancel ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Obrigado  [predicted:  get ; correct:  thanks ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
oi  [predicted:  get ; correct:  welcome ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
ok  [predicted:  get ; correct:  ok ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Chega q dia?  [predicted:  add ; correct:  get ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Listar  [predicted:  help ; correct:  get ]
Quero ver meus produtos  [predicted:  add ; correct:  get ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Todos  [predicted:  help ; correct:  get ]
Código  [predicted:  help ; correct:  get ]
Todas  [predicted:  add ; correct:  get ]
deletar  [predicted:  help ; correct:  delete ]
Consulta  [predicted:  help ; correct:  get ]
Como cadastrar um objeto?  [predicted:  add ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  help ; correct:  ok ]
descadastrar  [predicted:  help ; correct:  delete ]
parar  [predicted:  add ; correct:  cancel ]
para  [predicted:  help ; correct:  cancel ]
Lista  [predicted:  help ; correct:  get ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
SCORE:  11 / 30  ( 0.36666666666666664 )
Como?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Novo  [predicted:  get ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
SCORE:  15 / 30  ( 0.5 )
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
Listar  [predicted:  help ; correct:  get ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Consultar  [predicted:  help ; correct:  get ]
Todos  [predicted:  help ; correct:  get ]
Já se moveu?  [predicted:  help ; correct:  get ]
Tudo bem  [predicted:  help ; correct:  ok ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Não  [predicted:  help ; correct:  cancel ]
SCORE:  13 / 30  ( 0.43333333333333335 )
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Como você funciona  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
sair  [predicted:  get ; correct:  cancel ]
Não  [predicted:  get ; correct:  cancel ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
Novo pacote  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
adicionar  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
ok  [predicted:  get ; correct:  ok ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
tchau  [predicted:  get ; correct:  bye ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Informação  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Burro  [predicted:  get ; correct:  bad ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
SCORE:  9 / 30  ( 0.3 )
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
oi  [predicted:  get ; correct:  welcome ]
Como cadastro?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Como eu faço?  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
Obrigado  [predicted:  get ; correct:  thanks ]
descadastrar  [predicted:  get ; correct:  delete ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
parar  [predicted:  get ; correct:  cancel ]
Obrigada  [predicted:  get ; correct:  thanks ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
SCORE:  6 / 30  ( 0.2 )
sai  [predicted:  get ; correct:  cancel ]
Beleza  [predicted:  get ; correct:  ok ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
Remover  [predicted:  get ; correct:  delete ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
sair  [predicted:  get ; correct:  cancel ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Ajuda  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Até logo  [predicted:  get ; correct:  bye ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Burro  [predicted:  get ; correct:  bad ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
Beleza  [predicted:  get ; correct:  ok ]
Cadastrar  [predicted:  help ; correct:  add ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Apagar  [predicted:  get ; correct:  delete ]
Informação  [predicted:  get ; correct:  help ]
SCORE:  11 / 30  ( 0.36666666666666664 )
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
quem é você?  [predicted:  get ; correct:  saymyname ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Cadastro  [predicted:  help ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
sair  [predicted:  get ; correct:  cancel ]
Cadastro de código  [predicted:  help ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
De que vc precisa?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
SCORE:  12 / 30  ( 0.4 )
De que vc precisa?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
cancelar  [predicted:  get ; correct:  cancel ]
caralho  [predicted:  get ; correct:  bad ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Como eu faço?  [predicted:  get ; correct:  help ]
adicionar objeto  [predicted:  get ; correct:  add ]
Como você funciona  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Quero rastrear um pacote  [predicted:  add ; correct:  get ]
adeus  [predicted:  help ; correct:  bye ]
Até mais  [predicted:  help ; correct:  bye ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Código  [predicted:  help ; correct:  get ]
adicionar  [predicted:  help ; correct:  add ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Chega q dia?  [predicted:  help ; correct:  get ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
cadê  [predicted:  help ; correct:  get ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
adicionar objeto  [predicted:  help ; correct:  add ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
Encomenda  [predicted:  help ; correct:  get ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Até logo  [predicted:  help ; correct:  bye ]
Lista  [predicted:  help ; correct:  get ]
Listar  [predicted:  help ; correct:  get ]
descadastrar  [predicted:  help ; correct:  delete ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Entrega  [predicted:  help ; correct:  get ]
deletar  [predicted:  help ; correct:  delete ]
Quero fazer um rastreamento  [predicted:  add ; correct:  get ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Novo pacote  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Até logo  [predicted:  get ; correct:  bye ]
Ajuda  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Beleza  [predicted:  get ; correct:  ok ]
Apagar  [predicted:  get ; correct:  delete ]
Até mais  [predicted:  get ; correct:  bye ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
