Novo pacote  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
ok  [predicted:  help ; correct:  ok ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Onde está  [predicted:  help ; correct:  get ]
boa tarde  [predicted:  help ; correct:  greeting ]
Minhas encomendas  [predicted:  help ; correct:  get ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
Olá  [predicted:  help ; correct:  welcome ]
Até mais  [predicted:  get ; correct:  bye ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
boa noite  [predicted:  help ; correct:  greeting ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Até logo  [predicted:  help ; correct:  bye ]
Encomenda  [predicted:  help ; correct:  get ]
Cadastro  [predicted:  help ; correct:  add ]
Entrega  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Olá robô  [predicted:  help ; correct:  welcome ]
Cadastro de código  [predicted:  help ; correct:  add ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Meus objetos  [predicted:  help ; correct:  get ]
Boa tarde então  [predicted:  help ; correct:  greeting ]
SCORE:  6 / 30  ( 0.2 )
Informação  [predicted:  get ; correct:  help ]
Já se moveu?  [predicted:  help ; correct:  get ]
Onde está  [predicted:  help ; correct:  get ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Você pode rastrear um objeto para mim?  [predicted:  help ; correct:  get ]
boa noite  [predicted:  help ; correct:  greeting ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Olá  [predicted:  help ; correct:  welcome ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
Obrigado  [predicted:  help ; correct:  thanks ]
cadê  [predicted:  help ; correct:  get ]
Olá robô  [predicted:  help ; correct:  welcome ]
Gostaria de uma informação  [predicted:  add ; correct:  help ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Obrigada  [predicted:  help ; correct:  thanks ]
boa tarde  [predicted:  help ; correct:  greeting ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Boa tarde então  [predicted:  help ; correct:  greeting ]
ok  [predicted:  help ; correct:  ok ]
oi  [predicted:  help ; correct:  welcome ]
SCORE:  9 / 30  ( 0.3 )
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
Me ajuda  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
oi  [predicted:  get ; correct:  welcome ]
Como eu faço?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Consultar  [predicted:  help ; correct:  get ]
Registrar  [predicted:  help ; correct:  add ]
oi  [predicted:  help ; correct:  welcome ]
descadastrar  [predicted:  help ; correct:  delete ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Tudo bem  [predicted:  help ; correct:  ok ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Apagar  [predicted:  help ; correct:  delete ]
Beleza  [predicted:  help ; correct:  ok ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
Listar  [predicted:  help ; correct:  get ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Queria saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Obrigada  [predicted:  help ; correct:  thanks ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Todas  [predicted:  help ; correct:  get ]
Obrigado  [predicted:  help ; correct:  thanks ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Todos  [predicted:  help ; correct:  get ]
Lista  [predicted:  help ; correct:  get ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
deletar  [predicted:  help ; correct:  delete ]
SCORE:  6 / 30  ( 0.2 )
Listar  [predicted:  help ; correct:  get ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Novo pacote  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  help ; correct:  add ]
adeus  [predicted:  help ; correct:  bye ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Novo  [predicted:  help ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Cadastro de código  [predicted:  help ; correct:  add ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Não  [predicted:  get ; correct:  cancel ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Como eu faço?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
adicionar  [predicted:  get ; correct:  add ]
SCORE:  6 / 30  ( 0.2 )
cancelar  [predicted:  get ; correct:  cancel ]
Novo  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
caralho  [predicted:  get ; correct:  bad ]
Obrigada  [predicted:  get ; correct:  thanks ]
Novo pacote  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
cancela  [predicted:  get ; correct:  cancel ]
oi  [predicted:  get ; correct:  welcome ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  11 / 30  ( 0.36666666666666664 )
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
adicionar objeto  [predicted:  get ; correct:  add ]
bom dia  [predicted:  help ; correct:  greeting ]
Consulta  [predicted:  help ; correct:  get ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
adeus  [predicted:  help ; correct:  bye ]
Todos  [predicted:  help ; correct:  get ]
adicionar  [predicted:  help ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
Burro  [predicted:  help ; correct:  bad ]
quem é você?  [predicted:  get ; correct:  saymyname ]
sai  [predicted:  help ; correct:  cancel ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Todas  [predicted:  help ; correct:  get ]
Remover  [predicted:  help ; correct:  delete ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
Retirar  [predicted:  help ; correct:  delete ]
Cadastrar  [predicted:  help ; correct:  add ]
Como você funciona  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
SCORE:  5 / 30  ( 0.16666666666666666 )
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Informação  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastrar um código  [predicted:  add ; correct:  help ]
sair  [predicted:  get ; correct:  cancel ]
Tudo bem  [predicted:  get ; correct:  ok ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  add ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
tchau  [predicted:  get ; correct:  bye ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  13 / 30  ( 0.43333333333333335 )
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
Consultar  [predicted:  help ; correct:  get ]
Minhas encomendas  [predicted:  help ; correct:  get ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
tchau  [predicted:  help ; correct:  bye ]
sair  [predicted:  help ; correct:  cancel ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Código  [predicted:  help ; correct:  get ]
Meus objetos  [predicted:  help ; correct:  get ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
cadê  [predicted:  help ; correct:  get ]
SCORE:  14 / 30  ( 0.4666666666666667 )
Registrar  [predicted:  get ; correct:  add ]
adicionar um novo pacote  [predicted:  help ; correct:  add ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
como pode me ajudar  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
Até mais  [predicted:  get ; correct:  bye ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Consultar  [predicted:  help ; correct:  get ]
Como?  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  11 / 30  ( 0.36666666666666664 )
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Consulta  [predicted:  help ; correct:  get ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Como você funciona  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  help ; correct:  ok ]
SCORE:  12 / 30  ( 0.4 )
Muito obrigada  [predicted:  help ; correct:  thanks ]
Remover  [predicted:  get ; correct:  delete ]
sai  [predicted:  get ; correct:  cancel ]
Posso cadastrar encomendas de outros países?  [predicted:  add ; correct:  help ]
tchau  [predicted:  help ; correct:  bye ]
deletar  [predicted:  get ; correct:  delete ]
Ótimo!  [predicted:  get ; correct:  ok ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
sair  [predicted:  get ; correct:  cancel ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
Retirar  [predicted:  get ; correct:  delete ]
SCORE:  13 / 30  ( 0.43333333333333335 )
Minhas encomendas  [predicted:  help ; correct:  get ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Código  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
Cadastro  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
SCORE:  9 / 30  ( 0.3 )
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  help ; correct:  ok ]
Cadastro  [predicted:  help ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
Como eu faço?  [predicted:  get ; correct:  help ]
Quero fazer um rastreamento  [predicted:  add ; correct:  get ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  help ; correct:  add ]
Todas  [predicted:  help ; correct:  get ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Meus objetos  [predicted:  help ; correct:  get ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  7 / 30  ( 0.23333333333333334 )
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Apagar  [predicted:  get ; correct:  delete ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Não  [predicted:  get ; correct:  cancel ]
deletar  [predicted:  get ; correct:  delete ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Listar comandos  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Como eu faço?  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  9 / 30  ( 0.3 )
Quero fazer um rastreamento  [predicted:  add ; correct:  get ]
ok  [predicted:  help ; correct:  ok ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
parar  [predicted:  get ; correct:  cancel ]
Olá robô  [predicted:  help ; correct:  welcome ]
para  [predicted:  help ; correct:  cancel ]
Listar  [predicted:  help ; correct:  get ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Burro  [predicted:  help ; correct:  bad ]
bom dia  [predicted:  get ; correct:  greeting ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Ótimo!  [predicted:  get ; correct:  ok ]
Cadastrar  [predicted:  help ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Olá  [predicted:  help ; correct:  welcome ]
SCORE:  11 / 30  ( 0.36666666666666664 )
descadastrar  [predicted:  get ; correct:  delete ]
Beleza  [predicted:  get ; correct:  ok ]
Como eu faço?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Ajuda  [predicted:  get ; correct:  help ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Consulta  [predicted:  help ; correct:  get ]
Tudo bem  [predicted:  get ; correct:  ok ]
Apagar  [predicted:  get ; correct:  delete ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
Meus objetos  [predicted:  help ; correct:  get ]
Retirar  [predicted:  help ; correct:  delete ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
para  [predicted:  help ; correct:  cancel ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Minhas encomendas  [predicted:  help ; correct:  get ]
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
sai  [predicted:  help ; correct:  cancel ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
Consultar  [predicted:  help ; correct:  get ]
parar  [predicted:  help ; correct:  cancel ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Não  [predicted:  help ; correct:  cancel ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
Remover  [predicted:  help ; correct:  delete ]
SCORE:  5 / 30  ( 0.16666666666666666 )
deletar  [predicted:  get ; correct:  delete ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Até logo  [predicted:  help ; correct:  bye ]
descadastrar  [predicted:  help ; correct:  delete ]
Como você funciona  [predicted:  get ; correct:  help ]
Código  [predicted:  help ; correct:  get ]
oi  [predicted:  help ; correct:  welcome ]
Obrigado  [predicted:  get ; correct:  thanks ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
Como cadastrar um código  [predicted:  add ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
