Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Até mais  [predicted:  get ; correct:  bye ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
sair  [predicted:  get ; correct:  cancel ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Remover  [predicted:  get ; correct:  delete ]
Até logo  [predicted:  get ; correct:  bye ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
sai  [predicted:  get ; correct:  cancel ]
Listar comandos  [predicted:  get ; correct:  help ]
tchau  [predicted:  get ; correct:  bye ]
Me ajuda  [predicted:  get ; correct:  help ]
SCORE:  9 / 30  ( 0.3 )
oi  [predicted:  get ; correct:  welcome ]
Até logo  [predicted:  get ; correct:  bye ]
adicionar um novo pacote  [predicted:  help ; correct:  add ]
Obrigado  [predicted:  get ; correct:  thanks ]
Beleza  [predicted:  get ; correct:  ok ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Código  [predicted:  help ; correct:  get ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Apagar  [predicted:  help ; correct:  delete ]
Registrar  [predicted:  help ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
quem é você?  [predicted:  help ; correct:  saymyname ]
descadastrar  [predicted:  get ; correct:  delete ]
Obrigada  [predicted:  get ; correct:  thanks ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
Chega q dia?  [predicted:  help ; correct:  get ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Não  [predicted:  get ; correct:  cancel ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Como cadastro?  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastra?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  13 / 30  ( 0.43333333333333335 )
Quando ao certo chega minha encomenda?  [predicted:  help ; correct:  get ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
quem é você?  [predicted:  get ; correct:  saymyname ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
Cadastro de código  [predicted:  help ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Como eu faço?  [predicted:  get ; correct:  help ]
SCORE:  13 / 30  ( 0.43333333333333335 )
Como funciona  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
Obrigada  [predicted:  get ; correct:  thanks ]
Quero cadastrar  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
oi  [predicted:  get ; correct:  welcome ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
cancelar  [predicted:  get ; correct:  cancel ]
Novo pacote  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Cadastro de código  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Olá  [predicted:  get ; correct:  welcome ]
adicionar objeto  [predicted:  get ; correct:  add ]
SCORE:  3 / 30  ( 0.1 )
Remover  [predicted:  help ; correct:  delete ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Chega q dia?  [predicted:  help ; correct:  get ]
Novo pacote  [predicted:  help ; correct:  add ]
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Não  [predicted:  help ; correct:  cancel ]
sai  [predicted:  help ; correct:  cancel ]
Novo  [predicted:  help ; correct:  add ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
onde está minha encomenda?  [predicted:  help ; correct:  get ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Já se moveu?  [predicted:  help ; correct:  get ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Onde esta a minha encomenda  [predicted:  help ; correct:  get ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
Retirar  [predicted:  help ; correct:  delete ]
Rastrear  [predicted:  help ; correct:  get ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Código  [predicted:  help ; correct:  get ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
SCORE:  3 / 30  ( 0.1 )
adeus  [predicted:  get ; correct:  bye ]
adicionar objeto  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Quando ao certo chega minha encomenda?  [predicted:  help ; correct:  get ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
De que vc precisa?  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
Olá  [predicted:  get ; correct:  welcome ]
sair  [predicted:  get ; correct:  cancel ]
boa noite  [predicted:  get ; correct:  greeting ]
Novo pacote  [predicted:  get ; correct:  add ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Chega q dia?  [predicted:  help ; correct:  get ]
Consultar  [predicted:  help ; correct:  get ]
adicionar  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
SCORE:  3 / 30  ( 0.1 )
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
boa noite  [predicted:  get ; correct:  greeting ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Me ajuda  [predicted:  get ; correct:  help ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
cancela  [predicted:  get ; correct:  cancel ]
caralho  [predicted:  get ; correct:  bad ]
Como?  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
Não  [predicted:  get ; correct:  cancel ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
boa tarde  [predicted:  get ; correct:  greeting ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Listar comandos  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
SCORE:  2 / 30  ( 0.06666666666666667 )
Boa tarde então  [predicted:  get ; correct:  greeting ]
Obrigado  [predicted:  get ; correct:  thanks ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
sai  [predicted:  get ; correct:  cancel ]
deletar  [predicted:  get ; correct:  delete ]
descadastrar  [predicted:  get ; correct:  delete ]
boa noite  [predicted:  get ; correct:  greeting ]
Listar comandos  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
oi  [predicted:  get ; correct:  welcome ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Remover  [predicted:  get ; correct:  delete ]
parar  [predicted:  get ; correct:  cancel ]
boa tarde  [predicted:  get ; correct:  greeting ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
Ótimo!  [predicted:  get ; correct:  ok ]
SCORE:  6 / 30  ( 0.2 )
Cadastrar  [predicted:  help ; correct:  add ]
rastrear um objeto  [predicted:  help ; correct:  get ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Registrar  [predicted:  help ; correct:  add ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
adicionar um novo pacote  [predicted:  help ; correct:  add ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
Burro  [predicted:  help ; correct:  bad ]
boa tarde  [predicted:  help ; correct:  greeting ]
Até mais  [predicted:  help ; correct:  bye ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
boa noite  [predicted:  help ; correct:  greeting ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
Boa tarde então  [predicted:  help ; correct:  greeting ]
Listar  [predicted:  help ; correct:  get ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
bom dia  [predicted:  help ; correct:  greeting ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Até logo  [predicted:  help ; correct:  bye ]
Lista  [predicted:  help ; correct:  get ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
cadê  [predicted:  help ; correct:  get ]
SCORE:  3 / 30  ( 0.1 )
Olá  [predicted:  get ; correct:  welcome ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
Como cadastro?  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  9 / 30  ( 0.3 )
Onde está  [predicted:  help ; correct:  get ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Retirar  [predicted:  help ; correct:  delete ]
Encomenda  [predicted:  help ; correct:  get ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Olá, gostaria de rastrear um objeto  [predicted:  help ; correct:  get ]
cadê  [predicted:  help ; correct:  get ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Queria saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Gostaria de registrar  [predicted:  help ; correct:  add ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Não  [predicted:  help ; correct:  cancel ]
Tudo bem  [predicted:  help ; correct:  ok ]
Rastrear  [predicted:  help ; correct:  get ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Todos  [predicted:  help ; correct:  get ]
Remover  [predicted:  help ; correct:  delete ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Entrega  [predicted:  help ; correct:  get ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
sai  [predicted:  help ; correct:  cancel ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
Todas  [predicted:  help ; correct:  get ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
Consulta  [predicted:  help ; correct:  get ]
SCORE:  3 / 30  ( 0.1 )
Novo  [predicted:  get ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  add ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
Novo pacote  [predicted:  get ; correct:  add ]
Como faço pra cadastrar alguma encomenda?  [predicted:  add ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Como eu faço?  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
SCORE:  13 / 30  ( 0.43333333333333335 )
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
boa noite  [predicted:  get ; correct:  greeting ]
como pode me ajudar  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Como eu faço?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Como funciona  [predicted:  get ; correct:  help ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
boa tarde  [predicted:  get ; correct:  greeting ]
caralho  [predicted:  get ; correct:  bad ]
SCORE:  6 / 30  ( 0.2 )
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
Cadastrar  [predicted:  get ; correct:  add ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Como?  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Como você funciona  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
SCORE:  8 / 30  ( 0.26666666666666666 )
como pode me ajudar  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Como funciona  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
boa tarde  [predicted:  get ; correct:  greeting ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
Até logo  [predicted:  get ; correct:  bye ]
quem é você?  [predicted:  get ; correct:  saymyname ]
caralho  [predicted:  get ; correct:  bad ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
cancela  [predicted:  get ; correct:  cancel ]
parar  [predicted:  get ; correct:  cancel ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Gostaria de retirar  [predicted:  get ; correct:  delete ]
ok  [predicted:  get ; correct:  ok ]
Olá robô  [predicted:  get ; correct:  welcome ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Quando ao certo chega minha encomenda?  [predicted:  help ; correct:  get ]
Registrar  [predicted:  help ; correct:  add ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como?  [predicted:  get ; correct:  help ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Como cadastra?  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
SCORE:  11 / 30  ( 0.36666666666666664 )
Muito obrigado  [predicted:  get ; correct:  thanks ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Burro  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  get ; correct:  add ]
Retirar  [predicted:  get ; correct:  delete ]
Olá robô  [predicted:  get ; correct:  welcome ]
Olá  [predicted:  get ; correct:  welcome ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Remover  [predicted:  get ; correct:  delete ]
Não  [predicted:  get ; correct:  cancel ]
sai  [predicted:  get ; correct:  cancel ]
Obrigado  [predicted:  get ; correct:  thanks ]
ok  [predicted:  get ; correct:  ok ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Cadastro  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
bom dia  [predicted:  get ; correct:  greeting ]
Cadastro de código  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
SCORE:  5 / 30  ( 0.16666666666666666 )
para  [predicted:  get ; correct:  cancel ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastrar  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
