adicionar objeto  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
Novo pacote  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Até logo  [predicted:  get ; correct:  bye ]
como pode me ajudar  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
Listar comandos  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
Me ajuda  [predicted:  get ; correct:  help ]
SCORE:  6 / 30  ( 0.2 )
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
cancela  [predicted:  get ; correct:  cancel ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Remover  [predicted:  get ; correct:  delete ]
cancelar  [predicted:  get ; correct:  cancel ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
caralho  [predicted:  get ; correct:  bad ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
Olá robô  [predicted:  get ; correct:  welcome ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
SCORE:  6 / 30  ( 0.2 )
Como você funciona  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
boa noite  [predicted:  get ; correct:  greeting ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
Listar comandos  [predicted:  get ; correct:  help ]
Cadastro de código  [predicted:  get ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
Cadastro  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
deletar  [predicted:  get ; correct:  delete ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
SCORE:  12 / 30  ( 0.4 )
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Olá robô  [predicted:  get ; correct:  welcome ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Olá  [predicted:  get ; correct:  welcome ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
cancelar  [predicted:  get ; correct:  cancel ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Ajuda  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
Registrar  [predicted:  get ; correct:  add ]
SCORE:  5 / 30  ( 0.16666666666666666 )
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Olá robô  [predicted:  get ; correct:  welcome ]
ok  [predicted:  get ; correct:  ok ]
Como cadastro?  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
boa noite  [predicted:  get ; correct:  greeting ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
boa tarde  [predicted:  get ; correct:  greeting ]
Cadastro  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
SCORE:  8 / 30  ( 0.26666666666666666 )
De que vc precisa?  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Cadastro  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Cadastro de código  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
caralho  [predicted:  get ; correct:  bad ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Beleza  [predicted:  help ; correct:  ok ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
Lista  [predicted:  help ; correct:  get ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Apagar  [predicted:  help ; correct:  delete ]
Burro  [predicted:  help ; correct:  bad ]
Cadastrar  [predicted:  help ; correct:  add ]
Até mais  [predicted:  help ; correct:  bye ]
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
cancela  [predicted:  help ; correct:  cancel ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Muito obrigado  [predicted:  help ; correct:  thanks ]
Até logo  [predicted:  help ; correct:  bye ]
Listar  [predicted:  help ; correct:  get ]
cancelar  [predicted:  help ; correct:  cancel ]
bom dia  [predicted:  help ; correct:  greeting ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
Não  [predicted:  help ; correct:  cancel ]
caralho  [predicted:  help ; correct:  bad ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
adicionar um novo pacote  [predicted:  help ; correct:  add ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Já se moveu?  [predicted:  help ; correct:  get ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
SCORE:  2 / 30  ( 0.06666666666666667 )
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
boa noite  [predicted:  get ; correct:  greeting ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
boa tarde  [predicted:  get ; correct:  greeting ]
Como?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  get ; correct:  ok ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Como cadastra?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
SCORE:  13 / 30  ( 0.43333333333333335 )
parar  [predicted:  get ; correct:  cancel ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
ok  [predicted:  get ; correct:  ok ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Olá  [predicted:  get ; correct:  welcome ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Não  [predicted:  get ; correct:  cancel ]
para  [predicted:  get ; correct:  cancel ]
Ajuda  [predicted:  get ; correct:  help ]
Cadastro  [predicted:  get ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Cadastro de código  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Novo pacote  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Você pode rastrear um objeto para mim?  [predicted:  help ; correct:  get ]
qual a situação da minha encomenda?  [predicted:  help ; correct:  get ]
Obrigado  [predicted:  help ; correct:  thanks ]
pacote  [predicted:  help ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  help ; correct:  bad ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Já se moveu?  [predicted:  help ; correct:  get ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
cancelar  [predicted:  help ; correct:  cancel ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
cancela  [predicted:  help ; correct:  cancel ]
cadê  [predicted:  help ; correct:  get ]
Lista  [predicted:  help ; correct:  get ]
Qual seu nome ?  [predicted:  help ; correct:  saymyname ]
caralho  [predicted:  help ; correct:  bad ]
oi  [predicted:  help ; correct:  welcome ]
Ótimo!  [predicted:  help ; correct:  ok ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Obrigada  [predicted:  help ; correct:  thanks ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Listar  [predicted:  help ; correct:  get ]
parar  [predicted:  help ; correct:  cancel ]
para  [predicted:  help ; correct:  cancel ]
Qual o seu nome ?  [predicted:  help ; correct:  saymyname ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Rastrear encomenda  [predicted:  help ; correct:  get ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
rastrear um objeto  [predicted:  help ; correct:  get ]
Listar  [predicted:  help ; correct:  get ]
Apagar  [predicted:  help ; correct:  delete ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
Registrar  [predicted:  help ; correct:  add ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Rastrear  [predicted:  help ; correct:  get ]
Lista  [predicted:  help ; correct:  get ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Registrar uma encomenda  [predicted:  help ; correct:  add ]
Meus itens  [predicted:  help ; correct:  get ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Já se moveu?  [predicted:  help ; correct:  get ]
Beleza  [predicted:  help ; correct:  ok ]
Consultar  [predicted:  help ; correct:  get ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
Já cadastrou?  [predicted:  help ; correct:  get ]
SCORE:  9 / 30  ( 0.3 )
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
Tudo bem  [predicted:  get ; correct:  ok ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
cancelar  [predicted:  get ; correct:  cancel ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Ajuda  [predicted:  get ; correct:  help ]
cancela  [predicted:  get ; correct:  cancel ]
Informação  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
boa tarde  [predicted:  get ; correct:  greeting ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
adicionar  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
Como?  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
adeus  [predicted:  get ; correct:  bye ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
adicionar objeto  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Muito obrigado  [predicted:  get ; correct:  thanks ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
sai  [predicted:  get ; correct:  cancel ]
Me ajuda  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
Listar comandos  [predicted:  get ; correct:  help ]
Ajuda  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
cancela  [predicted:  get ; correct:  cancel ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Não  [predicted:  get ; correct:  cancel ]
Beleza  [predicted:  get ; correct:  ok ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Retirar  [predicted:  get ; correct:  delete ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Remover  [predicted:  get ; correct:  delete ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Olá robô  [predicted:  get ; correct:  welcome ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
tchau  [predicted:  get ; correct:  bye ]
sair  [predicted:  get ; correct:  cancel ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Não  [predicted:  get ; correct:  cancel ]
Olá  [predicted:  get ; correct:  welcome ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
boa tarde  [predicted:  get ; correct:  greeting ]
Tudo bem  [predicted:  get ; correct:  ok ]
boa noite  [predicted:  get ; correct:  greeting ]
SCORE:  6 / 30  ( 0.2 )
pacote  [predicted:  get ; correct:  add ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
cancela  [predicted:  get ; correct:  cancel ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
caralho  [predicted:  get ; correct:  bad ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
SCORE:  9 / 30  ( 0.3 )
adeus  [predicted:  get ; correct:  bye ]
adicionar  [predicted:  get ; correct:  add ]
quem é você?  [predicted:  get ; correct:  saymyname ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
cancela  [predicted:  get ; correct:  cancel ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
cancelar  [predicted:  get ; correct:  cancel ]
adicionar objeto  [predicted:  get ; correct:  add ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
SCORE:  12 / 30  ( 0.4 )
Olá  [predicted:  get ; correct:  welcome ]
descadastrar  [predicted:  get ; correct:  delete ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
adeus  [predicted:  get ; correct:  bye ]
Olá robô  [predicted:  get ; correct:  welcome ]
Registrar  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar  [predicted:  get ; correct:  add ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
deletar  [predicted:  get ; correct:  delete ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
SCORE:  6 / 30  ( 0.2 )
Quero cadastrar  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Como cadastra?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Obrigado  [predicted:  get ; correct:  thanks ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Cadastro de código  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
SCORE:  10 / 30  ( 0.3333333333333333 )
caralho  [predicted:  get ; correct:  bad ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
