Meus itens  [predicted:  help ; correct:  get ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Como funciona  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
Registrar  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Até mais  [predicted:  get ; correct:  bye ]
oi  [predicted:  get ; correct:  welcome ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
deletar  [predicted:  get ; correct:  delete ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  5 / 30  ( 0.16666666666666666 )
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Até mais  [predicted:  get ; correct:  bye ]
para  [predicted:  get ; correct:  cancel ]
deletar  [predicted:  get ; correct:  delete ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
parar  [predicted:  get ; correct:  cancel ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Quero rastrear um pacote  [predicted:  help ; correct:  get ]
sai  [predicted:  help ; correct:  cancel ]
Já se moveu?  [predicted:  help ; correct:  get ]
Até logo  [predicted:  help ; correct:  bye ]
adicionar um novo pacote  [predicted:  help ; correct:  add ]
Quando ao certo chega minha encomenda?  [predicted:  help ; correct:  get ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
Remover  [predicted:  help ; correct:  delete ]
Quero saber onde está minha encomenda  [predicted:  help ; correct:  get ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Até mais  [predicted:  help ; correct:  bye ]
Quero saber onde minha encomenda está  [predicted:  help ; correct:  get ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Quero rastrear uma encomenda  [predicted:  help ; correct:  get ]
caralho  [predicted:  help ; correct:  bad ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
cancela  [predicted:  help ; correct:  cancel ]
Já cadastrou?  [predicted:  help ; correct:  get ]
Retirar  [predicted:  help ; correct:  delete ]
Quero registrar uma encomenda  [predicted:  help ; correct:  add ]
cancelar  [predicted:  help ; correct:  cancel ]
Gostaria de registrar  [predicted:  help ; correct:  add ]
SCORE:  6 / 30  ( 0.2 )
Cadastro  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
bom dia  [predicted:  get ; correct:  greeting ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Cadastro de código  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
sai  [predicted:  get ; correct:  cancel ]
Como cadastro?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Remover  [predicted:  get ; correct:  delete ]
Retirar  [predicted:  get ; correct:  delete ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Listar comandos  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
parar  [predicted:  get ; correct:  cancel ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Obrigada  [predicted:  get ; correct:  thanks ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
oi  [predicted:  get ; correct:  welcome ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
Me ajuda  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  12 / 30  ( 0.4 )
Como cadastro?  [predicted:  get ; correct:  help ]
Ajuda  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
deletar  [predicted:  get ; correct:  delete ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
sair  [predicted:  get ; correct:  cancel ]
boa tarde  [predicted:  get ; correct:  greeting ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
descadastrar  [predicted:  get ; correct:  delete ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
boa noite  [predicted:  get ; correct:  greeting ]
tchau  [predicted:  get ; correct:  bye ]
Beleza  [predicted:  get ; correct:  ok ]
Até logo  [predicted:  get ; correct:  bye ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
SCORE:  6 / 30  ( 0.2 )
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Remover  [predicted:  get ; correct:  delete ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
oi  [predicted:  get ; correct:  welcome ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Como cadastro?  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
SCORE:  6 / 30  ( 0.2 )
Ajuda  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Como cadastra?  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
sai  [predicted:  get ; correct:  cancel ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
Até mais  [predicted:  get ; correct:  bye ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
Novo pacote  [predicted:  get ; correct:  add ]
Apagar  [predicted:  get ; correct:  delete ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
Retirar  [predicted:  get ; correct:  delete ]
descadastrar  [predicted:  get ; correct:  delete ]
Remover  [predicted:  get ; correct:  delete ]
Beleza  [predicted:  get ; correct:  ok ]
SCORE:  6 / 30  ( 0.2 )
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
pacote  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
oi  [predicted:  get ; correct:  welcome ]
Cadastrar  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
Obrigada  [predicted:  get ; correct:  thanks ]
Obrigado  [predicted:  get ; correct:  thanks ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
Ajuda  [predicted:  get ; correct:  help ]
SCORE:  5 / 30  ( 0.16666666666666666 )
caralho  [predicted:  get ; correct:  bad ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
oi  [predicted:  get ; correct:  welcome ]
Até mais  [predicted:  get ; correct:  bye ]
Registrar  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
Como funciona  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
Cadastro  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Até logo  [predicted:  get ; correct:  bye ]
cancela  [predicted:  get ; correct:  cancel ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
sai  [predicted:  get ; correct:  cancel ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Todas  [predicted:  help ; correct:  get ]
bom dia  [predicted:  get ; correct:  greeting ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  help ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
SCORE:  14 / 30  ( 0.4666666666666667 )
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  get ; correct:  add ]
boa tarde  [predicted:  get ; correct:  greeting ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
boa noite  [predicted:  get ; correct:  greeting ]
Remover  [predicted:  get ; correct:  delete ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Olá robô  [predicted:  get ; correct:  welcome ]
ok  [predicted:  get ; correct:  ok ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Não  [predicted:  get ; correct:  cancel ]
Cadastro  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
sai  [predicted:  get ; correct:  cancel ]
SCORE:  6 / 30  ( 0.2 )
Como você funciona  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  get ; correct:  add ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar  [predicted:  get ; correct:  add ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Informação  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
ok  [predicted:  get ; correct:  ok ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Como cadastra?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
adicionar objeto  [predicted:  get ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Como?  [predicted:  get ; correct:  help ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
SCORE:  6 / 30  ( 0.2 )
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
sai  [predicted:  get ; correct:  cancel ]
Beleza  [predicted:  get ; correct:  ok ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Retirar  [predicted:  get ; correct:  delete ]
Ajuda  [predicted:  get ; correct:  help ]
tchau  [predicted:  get ; correct:  bye ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Remover  [predicted:  get ; correct:  delete ]
Apagar  [predicted:  get ; correct:  delete ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastro?  [predicted:  get ; correct:  help ]
sair  [predicted:  get ; correct:  cancel ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
SCORE:  9 / 30  ( 0.3 )
Ótimo!  [predicted:  get ; correct:  ok ]
Retirar  [predicted:  get ; correct:  delete ]
parar  [predicted:  get ; correct:  cancel ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Remover  [predicted:  get ; correct:  delete ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
para  [predicted:  get ; correct:  cancel ]
ok  [predicted:  get ; correct:  ok ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
pacote  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Obrigada  [predicted:  get ; correct:  thanks ]
Obrigado  [predicted:  get ; correct:  thanks ]
oi  [predicted:  get ; correct:  welcome ]
Olá  [predicted:  get ; correct:  welcome ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
tchau  [predicted:  get ; correct:  bye ]
sai  [predicted:  get ; correct:  cancel ]
sair  [predicted:  get ; correct:  cancel ]
SCORE:  8 / 30  ( 0.26666666666666666 )
descadastrar  [predicted:  get ; correct:  delete ]
cancela  [predicted:  get ; correct:  cancel ]
caralho  [predicted:  get ; correct:  bad ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Beleza  [predicted:  get ; correct:  ok ]
cancelar  [predicted:  get ; correct:  cancel ]
deletar  [predicted:  get ; correct:  delete ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como você funciona  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
Ajuda  [predicted:  get ; correct:  help ]
SCORE:  11 / 30  ( 0.36666666666666664 )
adicionar um novo pacote  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
Olá robô  [predicted:  get ; correct:  welcome ]
Até logo  [predicted:  get ; correct:  bye ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Tudo bem  [predicted:  get ; correct:  ok ]
tchau  [predicted:  get ; correct:  bye ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Todas  [predicted:  help ; correct:  get ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Olá  [predicted:  get ; correct:  welcome ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
sair  [predicted:  get ; correct:  cancel ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Como?  [predicted:  get ; correct:  help ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
para  [predicted:  get ; correct:  cancel ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Burro  [predicted:  get ; correct:  bad ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
Cadastrar  [predicted:  get ; correct:  add ]
Como funciona  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
boa noite  [predicted:  get ; correct:  greeting ]
bom dia  [predicted:  get ; correct:  greeting ]
Como eu faço?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
parar  [predicted:  get ; correct:  cancel ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
