b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  get ; correct:  help ]
b'Todos'  [predicted:  get ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Burro'  [predicted:  get ; correct:  bad ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'Novo'  [predicted:  get ; correct:  add ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'Novo pacote'  [predicted:  get ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  get ; correct:  help ]
TIME:  0.010478019714355469
SCORE:  9 / 30  ( 0.3 )
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'adeus'  [predicted:  get ; correct:  bye ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'Como cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  get ; correct:  help ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'gostaria de cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  get ; correct:  help ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  get ; correct:  bad ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'para'  [predicted:  get ; correct:  cancel ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Ajuda'  [predicted:  get ; correct:  help ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'favor cadastrar o codigo de rastreio'  [predicted:  get ; correct:  add ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'Cadastrar encomenda'  [predicted:  get ; correct:  add ]
TIME:  0.012550830841064453
SCORE:  2 / 30  ( 0.06666666666666667 )
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'gostaria de cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'adicionar um novo pacote'  [predicted:  get ; correct:  add ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
b'favor cadastrar o codigo de rastreio'  [predicted:  get ; correct:  add ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  get ; correct:  help ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'Como cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  get ; correct:  add ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'ok'  [predicted:  get ; correct:  ok ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Ajuda'  [predicted:  get ; correct:  help ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  get ; correct:  add ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Meus itens'  [predicted:  get ; correct:  get ]
TIME:  0.011173009872436523
SCORE:  1 / 30  ( 0.03333333333333333 )
b'Registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  get ; correct:  help ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'tenha um bom dia'  [predicted:  get ; correct:  greeting ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Registrar'  [predicted:  get ; correct:  add ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'tchau'  [predicted:  get ; correct:  bye ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  get ; correct:  cancel ]
b'Cadastrar encomenda'  [predicted:  get ; correct:  add ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'Quero registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
TIME:  0.011044979095458984
SCORE:  10 / 30  ( 0.3333333333333333 )
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'pacote'  [predicted:  get ; correct:  add ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'\xc3\x93timo!'  [predicted:  get ; correct:  ok ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'como pode me ajudar'  [predicted:  get ; correct:  help ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  get ; correct:  help ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  get ; correct:  saymyname ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  get ; correct:  help ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'Como voc\xc3\xaa funciona'  [predicted:  get ; correct:  help ]
b'adeus'  [predicted:  get ; correct:  bye ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  get ; correct:  help ]
b'Quero cadastrar'  [predicted:  get ; correct:  add ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Como funciona'  [predicted:  get ; correct:  help ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
TIME:  0.012377023696899414
SCORE:  10 / 30  ( 0.3333333333333333 )
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'Quero cadastrar'  [predicted:  get ; correct:  add ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Cadastrar encomenda'  [predicted:  get ; correct:  add ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  get ; correct:  cancel ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'ok'  [predicted:  get ; correct:  ok ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'adicionar um novo pacote'  [predicted:  get ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  get ; correct:  help ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  get ; correct:  saymyname ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  get ; correct:  help ]
TIME:  0.009049177169799805
SCORE:  6 / 30  ( 0.2 )
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Tudo bem'  [predicted:  get ; correct:  ok ]
b'Quero cadastrar'  [predicted:  get ; correct:  add ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'adeus'  [predicted:  get ; correct:  bye ]
b'Como voc\xc3\xaa funciona'  [predicted:  get ; correct:  help ]
b'Quero rastrear um pacote'  [predicted:  get ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Todos'  [predicted:  get ; correct:  get ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Quero rastrear uma encomenda'  [predicted:  get ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  get ; correct:  help ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'Ajuda'  [predicted:  get ; correct:  help ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'adicionar um novo pacote'  [predicted:  get ; correct:  add ]
b'Todas'  [predicted:  get ; correct:  get ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Quero fazer um rastreamento'  [predicted:  get ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  get ; correct:  saymyname ]
TIME:  0.010850906372070312
SCORE:  7 / 30  ( 0.23333333333333334 )
b'adeus'  [predicted:  get ; correct:  bye ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  get ; correct:  saymyname ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Quero registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Quero cadastrar'  [predicted:  get ; correct:  add ]
b'adicionar um novo pacote'  [predicted:  get ; correct:  add ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  get ; correct:  add ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  get ; correct:  add ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
TIME:  0.010812997817993164
SCORE:  9 / 30  ( 0.3 )
b'Todos'  [predicted:  get ; correct:  get ]
b'Ajuda'  [predicted:  get ; correct:  help ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'Novo pacote'  [predicted:  get ; correct:  add ]
b'Como voc\xc3\xaa funciona'  [predicted:  get ; correct:  help ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Novo'  [predicted:  get ; correct:  add ]
b'o que eu devo fazer?'  [predicted:  get ; correct:  help ]
b'Tudo bem'  [predicted:  get ; correct:  ok ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'Todas'  [predicted:  get ; correct:  get ]
b'favor cadastrar o codigo de rastreio'  [predicted:  get ; correct:  add ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'gostaria de cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  get ; correct:  help ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'Beleza'  [predicted:  get ; correct:  ok ]
TIME:  0.012617111206054688
SCORE:  7 / 30  ( 0.23333333333333334 )
b'gostaria de cadastrar uma encomenda'  [predicted:  help ; correct:  add ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'Gostaria de registrar'  [predicted:  get ; correct:  add ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'Gostaria de fazer um cadastro'  [predicted:  help ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Quero rastrear um pacote'  [predicted:  get ; correct:  get ]
b'Novo pacote'  [predicted:  get ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Quero fazer um rastreamento'  [predicted:  get ; correct:  get ]
b'Novo'  [predicted:  get ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Quero rastrear uma encomenda'  [predicted:  get ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  get ; correct:  help ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Muito obrigada'  [predicted:  get ; correct:  thanks ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  help ; correct:  help ]
b'Consulta'  [predicted:  get ; correct:  get ]
TIME:  0.011069059371948242
SCORE:  15 / 30  ( 0.5 )
b'Eu quero cadastrar uma encomenda'  [predicted:  help ; correct:  add ]
b'Quero registrar uma encomenda'  [predicted:  help ; correct:  add ]
b'Como?'  [predicted:  help ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  help ; correct:  get ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  help ; correct:  get ]
b'cancela'  [predicted:  help ; correct:  cancel ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  help ; correct:  get ]
b'Obrigada'  [predicted:  help ; correct:  thanks ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  help ; correct:  get ]
b'Rastrear'  [predicted:  help ; correct:  get ]
b'Obrigado'  [predicted:  help ; correct:  thanks ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'Lista'  [predicted:  help ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  help ; correct:  saymyname ]
b'adeus'  [predicted:  help ; correct:  bye ]
b'adicionar objeto'  [predicted:  help ; correct:  add ]
b'Entrega'  [predicted:  help ; correct:  get ]
b'Listar'  [predicted:  help ; correct:  get ]
b'Como cadastra?'  [predicted:  help ; correct:  help ]
b'Gostaria de rastrear um objeto agora'  [predicted:  help ; correct:  add ]
b'Encomenda'  [predicted:  help ; correct:  get ]
b'oi'  [predicted:  help ; correct:  welcome ]
b'adicionar'  [predicted:  help ; correct:  add ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  help ; correct:  get ]
b'Qual seu nome ?'  [predicted:  help ; correct:  saymyname ]
b'caralho'  [predicted:  help ; correct:  bad ]
b'Gostaria de fazer um rastreamento'  [predicted:  help ; correct:  add ]
b'cancelar'  [predicted:  help ; correct:  cancel ]
b'Gostaria de fazer um cadastro'  [predicted:  help ; correct:  add ]
b'Rastrear encomenda'  [predicted:  help ; correct:  get ]
TIME:  0.015913009643554688
SCORE:  3 / 30  ( 0.1 )
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'como pode me ajudar'  [predicted:  get ; correct:  help ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'cad\xc3\xaa'  [predicted:  get ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  get ; correct:  bad ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  get ; correct:  add ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Como funciona'  [predicted:  get ; correct:  help ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
b'adeus'  [predicted:  get ; correct:  bye ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  get ; correct:  help ]
b'Cadastrar uma nova encomenda'  [predicted:  get ; correct:  add ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  get ; correct:  help ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
TIME:  0.010879039764404297
SCORE:  9 / 30  ( 0.3 )
b'Consultar'  [predicted:  get ; correct:  get ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Muito obrigada'  [predicted:  get ; correct:  thanks ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
