b'boa noite'  [predicted:  greeting ; correct:  greeting ]
b'oi'  [predicted:  saymyname ; correct:  welcome ]
b'Como cadastro uma encomenda?'  [predicted:  add ; correct:  help ]
b'sai'  [predicted:  saymyname ; correct:  cancel ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'descadastrar'  [predicted:  delete ; correct:  delete ]
b'Retirar'  [predicted:  saymyname ; correct:  delete ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Obrigado'  [predicted:  thanks ; correct:  thanks ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'C\xc3\xb3digo'  [predicted:  add ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  help ; correct:  get ]
b'Obrigada'  [predicted:  thanks ; correct:  thanks ]
b'deletar'  [predicted:  delete ; correct:  delete ]
b'Como cadastro?'  [predicted:  add ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  cancel ; correct:  get ]
b'Remover'  [predicted:  saymyname ; correct:  delete ]
b'Como cadastro minha encomenda?'  [predicted:  add ; correct:  help ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
TIME:  0.028384923934936523
SCORE:  13 / 30  ( 0.43333333333333335 )
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  saymyname ; correct:  bad ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  add ; correct:  add ]
b'pacote'  [predicted:  add ; correct:  add ]
b'Cadastro'  [predicted:  add ; correct:  add ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Gostaria de retirar'  [predicted:  delete ; correct:  delete ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'para'  [predicted:  thanks ; correct:  cancel ]
b'At\xc3\xa9 mais'  [predicted:  thanks ; correct:  bye ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'descadastrar'  [predicted:  delete ; correct:  delete ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  thanks ; correct:  ok ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Meus itens'  [predicted:  thanks ; correct:  get ]
b'deletar'  [predicted:  delete ; correct:  delete ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'Novo'  [predicted:  add ; correct:  add ]
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'parar'  [predicted:  thanks ; correct:  cancel ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 logo'  [predicted:  thanks ; correct:  bye ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  saymyname ; correct:  bad ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  help ; correct:  get ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
TIME:  0.02471613883972168
SCORE:  17 / 30  ( 0.5666666666666667 )
b'Como cadastro?'  [predicted:  add ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'At\xc3\xa9 logo'  [predicted:  saymyname ; correct:  bye ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  saymyname ; correct:  bye ]
b'Retirar'  [predicted:  delete ; correct:  delete ]
b'Muito obrigada'  [predicted:  thanks ; correct:  thanks ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como cadastro minha encomenda?'  [predicted:  add ; correct:  help ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'adicionar'  [predicted:  saymyname ; correct:  add ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  bad ; correct:  welcome ]
b'adeus'  [predicted:  saymyname ; correct:  bye ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'sai'  [predicted:  cancel ; correct:  cancel ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Entrega'  [predicted:  saymyname ; correct:  get ]
b'Como cadastro uma encomenda?'  [predicted:  add ; correct:  help ]
b'Encomenda'  [predicted:  delete ; correct:  get ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Meus objetos'  [predicted:  saymyname ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  saymyname ; correct:  welcome ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'ok'  [predicted:  saymyname ; correct:  ok ]
b'adicionar objeto'  [predicted:  add ; correct:  add ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Remover'  [predicted:  delete ; correct:  delete ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
TIME:  0.029140949249267578
SCORE:  12 / 30  ( 0.4 )
b'Burro'  [predicted:  thanks ; correct:  bad ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Beleza'  [predicted:  thanks ; correct:  ok ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  add ; correct:  help ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  welcome ; correct:  welcome ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Apagar'  [predicted:  thanks ; correct:  delete ]
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Rastrear'  [predicted:  add ; correct:  get ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Rastrear encomenda'  [predicted:  add ; correct:  get ]
b'\xc3\x93timo!'  [predicted:  thanks ; correct:  ok ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Cadastrar'  [predicted:  add ; correct:  add ]
b'Ol\xc3\xa1'  [predicted:  welcome ; correct:  welcome ]
b'Muito obrigada'  [predicted:  thanks ; correct:  thanks ]
b'Gostaria de retirar'  [predicted:  delete ; correct:  delete ]
b'ok'  [predicted:  ok ; correct:  ok ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  help ; correct:  help ]
b'pacote'  [predicted:  add ; correct:  add ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Ajuda'  [predicted:  help ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  add ; correct:  get ]
TIME:  0.023164987564086914
SCORE:  17 / 30  ( 0.5666666666666667 )
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  add ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  add ; correct:  help ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  thanks ; correct:  greeting ]
b'Gostaria de retirar uma encomenda'  [predicted:  delete ; correct:  delete ]
b'Todos'  [predicted:  thanks ; correct:  get ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  saymyname ; correct:  bad ]
b'para'  [predicted:  thanks ; correct:  cancel ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'sai'  [predicted:  thanks ; correct:  cancel ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'Gostaria de retirar'  [predicted:  delete ; correct:  delete ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  add ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'parar'  [predicted:  thanks ; correct:  cancel ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Todas'  [predicted:  thanks ; correct:  get ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  thanks ; correct:  help ]
b'Novo'  [predicted:  add ; correct:  add ]
b'boa tarde'  [predicted:  thanks ; correct:  greeting ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'Retirar'  [predicted:  delete ; correct:  delete ]
b'Remover'  [predicted:  thanks ; correct:  delete ]
b'deletar'  [predicted:  thanks ; correct:  delete ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'descadastrar'  [predicted:  thanks ; correct:  delete ]
b'De que vc precisa?'  [predicted:  help ; correct:  help ]
b'boa noite'  [predicted:  thanks ; correct:  greeting ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
TIME:  0.024224042892456055
SCORE:  13 / 30  ( 0.43333333333333335 )
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  add ; correct:  help ]
b'Retirar'  [predicted:  delete ; correct:  delete ]
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'At\xc3\xa9 logo'  [predicted:  thanks ; correct:  bye ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  welcome ; correct:  welcome ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'sai'  [predicted:  thanks ; correct:  cancel ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'Encomenda'  [predicted:  delete ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  thanks ; correct:  bye ]
b'Registrar'  [predicted:  add ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Entrega'  [predicted:  thanks ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Cadastrar encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  help ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  delete ; correct:  delete ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Meus itens'  [predicted:  thanks ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  welcome ; correct:  welcome ]
b'Remover'  [predicted:  thanks ; correct:  delete ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Gostaria de retirar'  [predicted:  delete ; correct:  delete ]
b'Cadastro'  [predicted:  add ; correct:  add ]
b'ok'  [predicted:  ok ; correct:  ok ]
TIME:  0.024962902069091797
