b'pacote'  [predicted:  ok ; correct:  add ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
TIME:  0.0327451229095459
SCORE:  12 / 30  ( 0.4 )
b'Consultar'  [predicted:  delete ; correct:  get ]
b'Vai tomar no cu'  [predicted:  delete ; correct:  bad ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Remover'  [predicted:  delete ; correct:  delete ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  delete ; correct:  help ]
b'Beleza'  [predicted:  delete ; correct:  ok ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Quero rastrear uma encomenda'  [predicted:  add ; correct:  get ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'De que vc precisa?'  [predicted:  delete ; correct:  help ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Ajuda'  [predicted:  delete ; correct:  help ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  delete ; correct:  get ]
b'Retirar'  [predicted:  delete ; correct:  delete ]
b'Meus objetos'  [predicted:  delete ; correct:  get ]
b'Registrar'  [predicted:  delete ; correct:  add ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  delete ; correct:  help ]
b'Apagar'  [predicted:  delete ; correct:  delete ]
b'sai'  [predicted:  delete ; correct:  cancel ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Muito obrigada'  [predicted:  delete ; correct:  thanks ]
TIME:  0.03533792495727539
SCORE:  9 / 30  ( 0.3 )
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'pacote'  [predicted:  ok ; correct:  add ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  ok ; correct:  help ]
b'Novo'  [predicted:  ok ; correct:  add ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'tchau'  [predicted:  ok ; correct:  bye ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'Como cadastro?'  [predicted:  ok ; correct:  help ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'sair'  [predicted:  ok ; correct:  cancel ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Como cadastro uma encomenda?'  [predicted:  delete ; correct:  help ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'o que eu devo fazer?'  [predicted:  ok ; correct:  help ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
TIME:  0.03427314758300781
SCORE:  11 / 30  ( 0.36666666666666664 )
b'tchau'  [predicted:  welcome ; correct:  bye ]
b'cad\xc3\xaa'  [predicted:  welcome ; correct:  get ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  welcome ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  welcome ; correct:  welcome ]
b'Qual o seu nome ?'  [predicted:  saymyname ; correct:  saymyname ]
b'Rastrear encomenda'  [predicted:  welcome ; correct:  get ]
b'Quero rastrear uma encomenda'  [predicted:  delete ; correct:  get ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'J\xc3\xa1 cadastrou?'  [predicted:  welcome ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  welcome ; correct:  welcome ]
b'At\xc3\xa9 logo'  [predicted:  bye ; correct:  bye ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'adicionar'  [predicted:  welcome ; correct:  add ]
b'J\xc3\xa1 se moveu?'  [predicted:  welcome ; correct:  get ]
b'sair'  [predicted:  welcome ; correct:  cancel ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  add ; correct:  help ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  welcome ; correct:  help ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Qual seu nome ?'  [predicted:  saymyname ; correct:  saymyname ]
b'adicionar objeto'  [predicted:  welcome ; correct:  add ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'ok'  [predicted:  welcome ; correct:  ok ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Rastrear'  [predicted:  welcome ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  bye ; correct:  bye ]
b'adeus'  [predicted:  welcome ; correct:  bye ]
TIME:  0.036041259765625
SCORE:  12 / 30  ( 0.4 )
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero fazer um rastreamento'  [predicted:  ok ; correct:  get ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Quero rastrear uma encomenda'  [predicted:  delete ; correct:  get ]
b'pacote'  [predicted:  ok ; correct:  add ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'Como cadastrar um objeto?'  [predicted:  help ; correct:  help ]
b'Registrar'  [predicted:  ok ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  delete ; correct:  add ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'Novo'  [predicted:  ok ; correct:  add ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  ok ; correct:  help ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'Gostaria de fazer um cadastro'  [predicted:  delete ; correct:  add ]
b'o que eu devo fazer?'  [predicted:  ok ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
TIME:  0.03233075141906738
SCORE:  12 / 30  ( 0.4 )
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  add ; correct:  help ]
b'Muito obrigada'  [predicted:  cancel ; correct:  thanks ]
b'cancelar'  [predicted:  cancel ; correct:  cancel ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Como cadastra?'  [predicted:  cancel ; correct:  help ]
b'Como voc\xc3\xaa funciona'  [predicted:  cancel ; correct:  help ]
b'Meus objetos'  [predicted:  cancel ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  cancel ; correct:  saymyname ]
b'Consulta'  [predicted:  cancel ; correct:  get ]
b'cancela'  [predicted:  cancel ; correct:  cancel ]
b'parar'  [predicted:  cancel ; correct:  cancel ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'sair'  [predicted:  cancel ; correct:  cancel ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  bad ; correct:  bad ]
b'Cadastro'  [predicted:  cancel ; correct:  add ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  cancel ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  cancel ; correct:  add ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'caralho'  [predicted:  cancel ; correct:  bad ]
b'para'  [predicted:  cancel ; correct:  cancel ]
b'tchau'  [predicted:  cancel ; correct:  bye ]
b'Como?'  [predicted:  cancel ; correct:  help ]
TIME:  0.0302581787109375
SCORE:  15 / 30  ( 0.5 )
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'Me ajuda'  [predicted:  cancel ; correct:  help ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Listar'  [predicted:  cancel ; correct:  get ]
b'Entrega'  [predicted:  cancel ; correct:  get ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Todos'  [predicted:  cancel ; correct:  get ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'Meus itens'  [predicted:  cancel ; correct:  get ]
b'Lista'  [predicted:  cancel ; correct:  get ]
b'Listar comandos'  [predicted:  cancel ; correct:  help ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Encomenda'  [predicted:  cancel ; correct:  get ]
b'Todas'  [predicted:  cancel ; correct:  get ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  add ; correct:  help ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'cad\xc3\xaa'  [predicted:  cancel ; correct:  get ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
TIME:  0.033117055892944336
SCORE:  13 / 30  ( 0.43333333333333335 )
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'pacote'  [predicted:  cancel ; correct:  add ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Como cadastro?'  [predicted:  cancel ; correct:  help ]
b'cad\xc3\xaa'  [predicted:  cancel ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  help ; correct:  help ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Entrega'  [predicted:  cancel ; correct:  get ]
b'Como cadastro uma encomenda?'  [predicted:  delete ; correct:  help ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'\xc3\x93timo!'  [predicted:  cancel ; correct:  ok ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  cancel ; correct:  help ]
b'sair'  [predicted:  cancel ; correct:  cancel ]
b'Registrar'  [predicted:  cancel ; correct:  add ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Encomenda'  [predicted:  cancel ; correct:  get ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'Como cadastra?'  [predicted:  help ; correct:  help ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'tchau'  [predicted:  cancel ; correct:  bye ]
TIME:  0.03132891654968262
SCORE:  17 / 30  ( 0.5666666666666667 )
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  ok ; correct:  help ]
b'Entrega'  [predicted:  ok ; correct:  get ]
b'De que vc precisa?'  [predicted:  help ; correct:  help ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Encomenda'  [predicted:  ok ; correct:  get ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero rastrear uma encomenda'  [predicted:  delete ; correct:  get ]
b'Consultar'  [predicted:  ok ; correct:  get ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Listar comandos'  [predicted:  ok ; correct:  help ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  ok ; correct:  help ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'Meus itens'  [predicted:  ok ; correct:  get ]
b'Me ajuda'  [predicted:  ok ; correct:  help ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Cadastro'  [predicted:  ok ; correct:  add ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Cadastrar encomenda'  [predicted:  add ; correct:  add ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
TIME:  0.08774971961975098
SCORE:  11 / 30  ( 0.36666666666666664 )
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Ol\xc3\xa1'  [predicted:  ok ; correct:  welcome ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  ok ; correct:  greeting ]
b'At\xc3\xa9 mais'  [predicted:  ok ; correct:  bye ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'At\xc3\xa9 logo'  [predicted:  ok ; correct:  bye ]
b'ok'  [predicted:  ok ; correct:  ok ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  ok ; correct:  welcome ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  help ; correct:  help ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'Entrega'  [predicted:  ok ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'boa tarde'  [predicted:  ok ; correct:  greeting ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'Encomenda'  [predicted:  ok ; correct:  get ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'boa noite'  [predicted:  ok ; correct:  greeting ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
TIME:  0.029139995574951172
SCORE:  9 / 30  ( 0.3 )
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Registrar'  [predicted:  ok ; correct:  add ]
b'Lista'  [predicted:  ok ; correct:  get ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  ok ; correct:  bad ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'parar'  [predicted:  ok ; correct:  cancel ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  ok ; correct:  saymyname ]
b'Listar'  [predicted:  ok ; correct:  get ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
TIME:  0.030887365341186523
SCORE:  10 / 30  ( 0.3333333333333333 )
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  ok ; correct:  help ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Visualizar rastreamento'  [predicted:  ok ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  add ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Vai tomar no cu'  [predicted:  ok ; correct:  bad ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'adicionar'  [predicted:  ok ; correct:  add ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  ok ; correct:  help ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Novo'  [predicted:  ok ; correct:  add ]
TIME:  0.03363609313964844
SCORE:  10 / 30  ( 0.3333333333333333 )
b'Como funciona'  [predicted:  help ; correct:  help ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  ok ; correct:  help ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Lista'  [predicted:  ok ; correct:  get ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
