b'Como cadastro uma encomenda?'  [predicted:  ok ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  cancel ; correct:  help ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Novo pacote'  [predicted:  cancel ; correct:  add ]
b'Gostaria de retirar uma encomenda'  [predicted:  cancel ; correct:  delete ]
b'Cadastrar encomenda'  [predicted:  cancel ; correct:  add ]
b'Obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Cadastro'  [predicted:  cancel ; correct:  add ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Novo'  [predicted:  cancel ; correct:  add ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  cancel ; correct:  bad ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  cancel ; correct:  help ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  cancel ; correct:  add ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'oi'  [predicted:  cancel ; correct:  welcome ]
b'Como voc\xc3\xaa funciona'  [predicted:  cancel ; correct:  help ]
TIME:  0.02402019500732422
SCORE:  8 / 30  ( 0.26666666666666666 )
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Tudo bem'  [predicted:  cancel ; correct:  ok ]
b'Todos'  [predicted:  cancel ; correct:  get ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'Como?'  [predicted:  cancel ; correct:  help ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  cancel ; correct:  help ]
b'De que vc precisa?'  [predicted:  cancel ; correct:  help ]
b'Consultar'  [predicted:  cancel ; correct:  get ]
b'Como cadastrar um objeto?'  [predicted:  cancel ; correct:  help ]
b'Como funciona'  [predicted:  cancel ; correct:  help ]
b'como pode me ajudar'  [predicted:  cancel ; correct:  help ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Todas'  [predicted:  cancel ; correct:  get ]
b'consultar minha encomenda'  [predicted:  cancel ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  cancel ; correct:  help ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Como cadastra?'  [predicted:  cancel ; correct:  help ]
b'Gostaria de retirar'  [predicted:  cancel ; correct:  delete ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  cancel ; correct:  help ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  cancel ; correct:  delete ]
b'Como eu fa\xc3\xa7o?'  [predicted:  cancel ; correct:  help ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
TIME:  0.023924827575683594
SCORE:  8 / 30  ( 0.26666666666666666 )
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  ok ; correct:  help ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Listar comandos'  [predicted:  ok ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Como cadastra a encomenda'  [predicted:  ok ; correct:  help ]
b'Como?'  [predicted:  ok ; correct:  help ]
b'Quero rastrear uma encomenda'  [predicted:  ok ; correct:  get ]
b'Vai tomar no cu'  [predicted:  ok ; correct:  bad ]
b'Quero cadastrar'  [predicted:  ok ; correct:  add ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'adicionar um novo pacote'  [predicted:  ok ; correct:  add ]
b'Me ajuda'  [predicted:  ok ; correct:  help ]
b'At\xc3\xa9 logo'  [predicted:  ok ; correct:  bye ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Quero rastrear um pacote'  [predicted:  ok ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  saymyname ; correct:  saymyname ]
b'Visualizar rastreamento'  [predicted:  ok ; correct:  get ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  ok ; correct:  bye ]
b'Como cadastra?'  [predicted:  ok ; correct:  help ]
b'Meus itens'  [predicted:  ok ; correct:  get ]
b'Minhas encomendas'  [predicted:  ok ; correct:  get ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
TIME:  0.02578592300415039
SCORE:  3 / 30  ( 0.1 )
b'Como?'  [predicted:  ok ; correct:  help ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Minhas encomendas'  [predicted:  ok ; correct:  get ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  ok ; correct:  help ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'Como cadastra?'  [predicted:  ok ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'adicionar um novo pacote'  [predicted:  ok ; correct:  add ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'Gostaria de retirar'  [predicted:  delete ; correct:  delete ]
b'At\xc3\xa9 logo'  [predicted:  ok ; correct:  bye ]
b'bom dia'  [predicted:  ok ; correct:  greeting ]
b'Cadastro'  [predicted:  ok ; correct:  add ]
b'Como cadastra a encomenda'  [predicted:  ok ; correct:  help ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'Como cadastro minha encomenda?'  [predicted:  ok ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'Gostaria de retirar uma encomenda'  [predicted:  delete ; correct:  delete ]
b'Como cadastrar um objeto?'  [predicted:  ok ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  help ; correct:  help ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'At\xc3\xa9 mais'  [predicted:  ok ; correct:  bye ]
b'Cadastrar encomenda'  [predicted:  ok ; correct:  add ]
b'Como cadastro?'  [predicted:  ok ; correct:  help ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Como cadastro uma encomenda?'  [predicted:  ok ; correct:  help ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'pacote'  [predicted:  ok ; correct:  add ]
TIME:  0.027587890625
SCORE:  5 / 30  ( 0.16666666666666666 )
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  ok ; correct:  welcome ]
b'Como cadastra?'  [predicted:  ok ; correct:  help ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'Novo'  [predicted:  ok ; correct:  add ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Como cadastra a encomenda'  [predicted:  ok ; correct:  help ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'Como?'  [predicted:  ok ; correct:  help ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'o que eu devo fazer?'  [predicted:  ok ; correct:  help ]
b'parar'  [predicted:  ok ; correct:  cancel ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'Novo pacote'  [predicted:  ok ; correct:  add ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  ok ; correct:  bad ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'ok'  [predicted:  ok ; correct:  ok ]
b'Muito obrigado'  [predicted:  ok ; correct:  thanks ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  ok ; correct:  welcome ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'N\xc3\xa3o'  [predicted:  ok ; correct:  cancel ]
TIME:  0.023973941802978516
SCORE:  5 / 30  ( 0.16666666666666666 )
b'Encomenda'  [predicted:  ok ; correct:  get ]
b'Consultar'  [predicted:  ok ; correct:  get ]
b'De que vc precisa?'  [predicted:  help ; correct:  help ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Minhas encomendas'  [predicted:  ok ; correct:  get ]
b'cancelar'  [predicted:  ok ; correct:  cancel ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'Novo pacote'  [predicted:  ok ; correct:  add ]
b'como pode me ajudar'  [predicted:  ok ; correct:  help ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Entrega'  [predicted:  ok ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  ok ; correct:  get ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  ok ; correct:  help ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'caralho'  [predicted:  ok ; correct:  bad ]
b'adicionar'  [predicted:  ok ; correct:  add ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
b'parar'  [predicted:  ok ; correct:  cancel ]
b'Novo'  [predicted:  ok ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  ok ; correct:  help ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  ok ; correct:  bad ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
TIME:  0.024899959564208984
SCORE:  4 / 30  ( 0.13333333333333333 )
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  ok ; correct:  bad ]
b'Qual o seu nome ?'  [predicted:  saymyname ; correct:  saymyname ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Quero fazer um rastreamento'  [predicted:  ok ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'adicionar'  [predicted:  ok ; correct:  add ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  help ; correct:  help ]
b'Consultar'  [predicted:  ok ; correct:  get ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'Lista'  [predicted:  ok ; correct:  get ]
b'Qual seu nome ?'  [predicted:  saymyname ; correct:  saymyname ]
b'Gostaria de fazer um rastreamento'  [predicted:  ok ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'De que vc precisa?'  [predicted:  ok ; correct:  help ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  ok ; correct:  help ]
b'consultar minha encomenda'  [predicted:  ok ; correct:  get ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Quero rastrear uma encomenda'  [predicted:  ok ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'Quero rastrear um pacote'  [predicted:  ok ; correct:  get ]
b'Gostaria de fazer um cadastro'  [predicted:  ok ; correct:  add ]
b'Listar'  [predicted:  ok ; correct:  get ]
TIME:  0.02472400665283203
SCORE:  11 / 30  ( 0.36666666666666664 )
b'Obrigado'  [predicted:  bye ; correct:  thanks ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  help ; correct:  help ]
b'sai'  [predicted:  bye ; correct:  cancel ]
b'Novo'  [predicted:  bye ; correct:  add ]
b'cad\xc3\xaa minha encomenda'  [predicted:  bye ; correct:  get ]
b'descadastrar'  [predicted:  bye ; correct:  delete ]
b'Consultar'  [predicted:  bye ; correct:  get ]
b'Visualizar rastreamento'  [predicted:  bye ; correct:  get ]
b'Obrigada'  [predicted:  bye ; correct:  thanks ]
b'Remover'  [predicted:  bye ; correct:  delete ]
b'Qual o seu nome ?'  [predicted:  bye ; correct:  saymyname ]
b'Gostaria de retirar uma encomenda'  [predicted:  bye ; correct:  delete ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  bye ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  bye ; correct:  help ]
b'consultar minha encomenda'  [predicted:  bye ; correct:  get ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  bye ; correct:  help ]
b'Gostaria de retirar'  [predicted:  bye ; correct:  delete ]
b'Vai tomar no cu'  [predicted:  bye ; correct:  bad ]
b'cad\xc3\xaa'  [predicted:  bye ; correct:  get ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'Qual seu nome ?'  [predicted:  bye ; correct:  saymyname ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'deletar'  [predicted:  bye ; correct:  delete ]
b'Novo pacote'  [predicted:  bye ; correct:  add ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  bye ; correct:  get ]
b'De que vc precisa?'  [predicted:  bye ; correct:  help ]
b'Retirar'  [predicted:  bye ; correct:  delete ]
b'oi'  [predicted:  bye ; correct:  welcome ]
b'Cadastrar uma nova encomenda'  [predicted:  bye ; correct:  add ]
TIME:  0.025116920471191406
SCORE:  4 / 30  ( 0.13333333333333333 )
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'sair'  [predicted:  ok ; correct:  cancel ]
b'De que vc precisa?'  [predicted:  help ; correct:  help ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  ok ; correct:  help ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  ok ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Minhas encomendas'  [predicted:  ok ; correct:  get ]
b'tenha um bom dia'  [predicted:  ok ; correct:  greeting ]
b'C\xc3\xb3digo'  [predicted:  ok ; correct:  get ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Como cadastro minha encomenda?'  [predicted:  ok ; correct:  help ]
b'Como cadastro uma encomenda?'  [predicted:  ok ; correct:  help ]
b'como pode me ajudar'  [predicted:  ok ; correct:  help ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Como cadastro?'  [predicted:  ok ; correct:  help ]
b'Consultar'  [predicted:  ok ; correct:  get ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'tchau'  [predicted:  ok ; correct:  bye ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
TIME:  0.0262148380279541
SCORE:  7 / 30  ( 0.23333333333333334 )
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'adicionar um novo pacote'  [predicted:  ok ; correct:  add ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'At\xc3\xa9 logo'  [predicted:  ok ; correct:  bye ]
b'Quero rastrear um pacote'  [predicted:  ok ; correct:  get ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  ok ; correct:  help ]
b'Entrega'  [predicted:  ok ; correct:  get ]
b'J\xc3\xa1 se moveu?'  [predicted:  ok ; correct:  get ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'J\xc3\xa1 cadastrou?'  [predicted:  ok ; correct:  get ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  bad ; correct:  bad ]
b'Quando ao certo chega minha encomenda?'  [predicted:  ok ; correct:  get ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'parar'  [predicted:  ok ; correct:  cancel ]
b'Quero rastrear uma encomenda'  [predicted:  ok ; correct:  get ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  ok ; correct:  help ]
b'caralho'  [predicted:  ok ; correct:  bad ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  ok ; correct:  help ]
b'At\xc3\xa9 mais'  [predicted:  ok ; correct:  bye ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Registrar'  [predicted:  ok ; correct:  add ]
b'cancelar'  [predicted:  ok ; correct:  cancel ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Encomenda'  [predicted:  ok ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
TIME:  0.02381110191345215
SCORE:  7 / 30  ( 0.23333333333333334 )
b'cancela'  [predicted:  delete ; correct:  cancel ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  delete ; correct:  help ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  delete ; correct:  help ]
b'Entrega'  [predicted:  delete ; correct:  get ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  delete ; correct:  help ]
b'cancelar'  [predicted:  delete ; correct:  cancel ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Listar comandos'  [predicted:  delete ; correct:  help ]
b'Muito obrigada'  [predicted:  delete ; correct:  thanks ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Gostaria de retirar uma encomenda'  [predicted:  delete ; correct:  delete ]
b'Me ajuda'  [predicted:  delete ; correct:  help ]
b'Minhas encomendas'  [predicted:  delete ; correct:  get ]
b'pacote'  [predicted:  delete ; correct:  add ]
b'Onde est\xc3\xa1'  [predicted:  delete ; correct:  get ]
b'Gostaria de retirar'  [predicted:  delete ; correct:  delete ]
b'gostaria de procurar um objeto'  [predicted:  delete ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero rastrear um pacote'  [predicted:  delete ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de registrar'  [predicted:  delete ; correct:  add ]
b'Meus objetos'  [predicted:  delete ; correct:  get ]
b'Meus itens'  [predicted:  delete ; correct:  get ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'caralho'  [predicted:  delete ; correct:  bad ]
b'Quero rastrear uma encomenda'  [predicted:  delete ; correct:  get ]
b'\xc3\x93timo!'  [predicted:  delete ; correct:  ok ]
b'Encomenda'  [predicted:  delete ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
TIME:  0.02532505989074707
SCORE:  7 / 30  ( 0.23333333333333334 )
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Listar'  [predicted:  thanks ; correct:  get ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Obrigado'  [predicted:  thanks ; correct:  thanks ]
b'Obrigada'  [predicted:  thanks ; correct:  thanks ]
b'Me ajuda'  [predicted:  thanks ; correct:  help ]
b'pacote'  [predicted:  thanks ; correct:  add ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'oi'  [predicted:  thanks ; correct:  welcome ]
b'Meus itens'  [predicted:  thanks ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  thanks ; correct:  saymyname ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  thanks ; correct:  saymyname ]
b'C\xc3\xb3digo'  [predicted:  thanks ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  thanks ; correct:  get ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Qual seu nome ?'  [predicted:  thanks ; correct:  saymyname ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'favor cadastrar o codigo de rastreio'  [predicted:  add ; correct:  add ]
b'Lista'  [predicted:  thanks ; correct:  get ]
b'Quero cadastrar'  [predicted:  thanks ; correct:  add ]
b'Listar comandos'  [predicted:  thanks ; correct:  help ]
b'Onde esta a minha encomenda'  [predicted:  help ; correct:  get ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Registrar'  [predicted:  thanks ; correct:  add ]
b'\xc3\x93timo!'  [predicted:  thanks ; correct:  ok ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  thanks ; correct:  help ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
TIME:  0.02252984046936035
SCORE:  11 / 30  ( 0.36666666666666664 )
