b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Qual o seu nome ?'  [predicted:  help ; correct:  saymyname ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  help ; correct:  bye ]
b'Listar'  [predicted:  help ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  add ; correct:  get ]
b'pacote'  [predicted:  get ; correct:  add ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  help ; correct:  get ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  help ; correct:  get ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'Beleza'  [predicted:  help ; correct:  ok ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  help ; correct:  get ]
b'Lista'  [predicted:  help ; correct:  get ]
b'Ajuda'  [predicted:  help ; correct:  help ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Todas'  [predicted:  help ; correct:  get ]
b'Onde est\xc3\xa1'  [predicted:  help ; correct:  get ]
b'Apagar'  [predicted:  help ; correct:  delete ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  help ; correct:  saymyname ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'\xc3\x93timo!'  [predicted:  help ; correct:  ok ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  help ; correct:  help ]
b'Todos'  [predicted:  help ; correct:  get ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
TIME:  0.0052490234375
SCORE:  11 / 30  ( 0.36666666666666664 )
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  help ; correct:  saymyname ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'tenha um bom dia'  [predicted:  get ; correct:  greeting ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'Todas'  [predicted:  get ; correct:  get ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'para'  [predicted:  get ; correct:  cancel ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  help ; correct:  bad ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'\xc3\x93timo!'  [predicted:  get ; correct:  ok ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Lista'  [predicted:  get ; correct:  get ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'Todos'  [predicted:  get ; correct:  get ]
b'tchau'  [predicted:  get ; correct:  bye ]
b'Listar'  [predicted:  help ; correct:  get ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'pacote'  [predicted:  add ; correct:  add ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
TIME:  0.0058400630950927734
SCORE:  11 / 30  ( 0.36666666666666664 )
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'\xc3\x93timo!'  [predicted:  get ; correct:  ok ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'pacote'  [predicted:  add ; correct:  add ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  get ; correct:  cancel ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  help ; correct:  bad ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Ajuda'  [predicted:  help ; correct:  help ]
TIME:  0.004563093185424805
SCORE:  11 / 30  ( 0.36666666666666664 )
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'Gostaria de fazer um cadastro'  [predicted:  help ; correct:  add ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'At\xc3\xa9 logo'  [predicted:  bye ; correct:  bye ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
TIME:  0.004520893096923828
SCORE:  16 / 30  ( 0.5333333333333333 )
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'Novo'  [predicted:  add ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Quero ver meus produtos'  [predicted:  add ; correct:  get ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  get ; correct:  help ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'para'  [predicted:  get ; correct:  cancel ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  help ; correct:  bad ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  add ; correct:  help ]
b'Todas'  [predicted:  get ; correct:  get ]
b'Tudo bem'  [predicted:  get ; correct:  ok ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Todos'  [predicted:  get ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
TIME:  0.0044460296630859375
SCORE:  15 / 30  ( 0.5 )
b'Qual o seu nome ?'  [predicted:  help ; correct:  saymyname ]
b'Qual seu nome ?'  [predicted:  help ; correct:  saymyname ]
b'Quero rastrear uma encomenda'  [predicted:  get ; correct:  get ]
b'Registrar'  [predicted:  add ; correct:  add ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  help ; correct:  help ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'deletar'  [predicted:  help ; correct:  delete ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  help ; correct:  add ]
b'Todos'  [predicted:  help ; correct:  get ]
b'Quero fazer um rastreamento'  [predicted:  get ; correct:  get ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'Gostaria de fazer um rastreamento'  [predicted:  help ; correct:  add ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Registrar uma encomenda'  [predicted:  help ; correct:  add ]
b'cad\xc3\xaa'  [predicted:  help ; correct:  get ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'cad\xc3\xaa minha encomenda'  [predicted:  help ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  help ; correct:  get ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  help ; correct:  help ]
b'Cadastrar uma nova encomenda'  [predicted:  help ; correct:  add ]
b'Todas'  [predicted:  help ; correct:  get ]
b'descadastrar'  [predicted:  help ; correct:  delete ]
TIME:  0.004523038864135742
SCORE:  13 / 30  ( 0.43333333333333335 )
b'Consulta'  [predicted:  get ; correct:  get ]
b'Como cadastro minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como cadastro uma encomenda?'  [predicted:  help ; correct:  help ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'caralho'  [predicted:  get ; correct:  bad ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'Cadastrar'  [predicted:  add ; correct:  add ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Ajuda'  [predicted:  help ; correct:  help ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'cancela'  [predicted:  get ; correct:  cancel ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Como cadastro?'  [predicted:  help ; correct:  help ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'ok'  [predicted:  get ; correct:  ok ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'C\xc3\xb3digo'  [predicted:  add ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Burro'  [predicted:  get ; correct:  bad ]
TIME:  0.005205869674682617
SCORE:  14 / 30  ( 0.4666666666666667 )
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'Gostaria de fazer um cadastro'  [predicted:  add ; correct:  add ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Gostaria de retirar uma encomenda'  [predicted:  get ; correct:  delete ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'o que eu devo fazer?'  [predicted:  get ; correct:  help ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  help ; correct:  saymyname ]
b'cad\xc3\xaa'  [predicted:  get ; correct:  get ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Novo'  [predicted:  add ; correct:  add ]
b'Registrar'  [predicted:  add ; correct:  add ]
b'ok'  [predicted:  get ; correct:  ok ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Muito obrigada'  [predicted:  get ; correct:  thanks ]
TIME:  0.004539966583251953
SCORE:  16 / 30  ( 0.5333333333333333 )
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  bad ; correct:  bad ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'Como cadastro uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  add ; correct:  help ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Como cadastro?'  [predicted:  add ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Como cadastro minha encomenda?'  [predicted:  add ; correct:  help ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'Novo'  [predicted:  add ; correct:  add ]
TIME:  0.0046389102935791016
SCORE:  11 / 30  ( 0.36666666666666664 )
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  add ; correct:  help ]
b'Novo'  [predicted:  add ; correct:  add ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'Quero rastrear uma encomenda'  [predicted:  add ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  add ; correct:  get ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Visualizar rastreamento'  [predicted:  add ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Cadastro'  [predicted:  help ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  add ; correct:  add ]
TIME:  0.0065310001373291016
SCORE:  17 / 30  ( 0.5666666666666667 )
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'Todos'  [predicted:  get ; correct:  get ]
b'Tudo bem'  [predicted:  get ; correct:  ok ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'cancela'  [predicted:  get ; correct:  cancel ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'caralho'  [predicted:  get ; correct:  bad ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'Gostaria de fazer um cadastro'  [predicted:  help ; correct:  add ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Todas'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
TIME:  0.004534006118774414
SCORE:  9 / 30  ( 0.3 )
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Lista'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  add ; correct:  help ]
b'Listar'  [predicted:  help ; correct:  get ]
b'cad\xc3\xaa minha encomenda'  [predicted:  help ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Muito obrigada'  [predicted:  get ; correct:  thanks ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'cad\xc3\xaa'  [predicted:  get ; correct:  get ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'Rastrear'  [predicted:  get ; correct:  get ]
TIME:  0.00613093376159668
SCORE:  18 / 30  ( 0.6 )
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Registrar'  [predicted:  add ; correct:  add ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'adicionar objeto'  [predicted:  add ; correct:  add ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
