b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'tchau'  [predicted:  get ; correct:  bye ]
b'ok'  [predicted:  get ; correct:  ok ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'Listar'  [predicted:  get ; correct:  get ]
TIME:  0.006501197814941406
SCORE:  16 / 30  ( 0.5333333333333333 )
b'ok'  [predicted:  help ; correct:  ok ]
b'oi'  [predicted:  help ; correct:  welcome ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'Ol\xc3\xa1'  [predicted:  help ; correct:  welcome ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'Tudo bem'  [predicted:  get ; correct:  ok ]
b'Todas'  [predicted:  help ; correct:  get ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Cadastro'  [predicted:  help ; correct:  add ]
b'Todos'  [predicted:  help ; correct:  get ]
b'Cadastrar encomenda'  [predicted:  get ; correct:  add ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Registrar'  [predicted:  help ; correct:  add ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Obrigada'  [predicted:  help ; correct:  thanks ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'caralho'  [predicted:  help ; correct:  bad ]
b'C\xc3\xb3digo'  [predicted:  help ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  get ; correct:  saymyname ]
b'Obrigado'  [predicted:  help ; correct:  thanks ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'cancelar'  [predicted:  help ; correct:  cancel ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'cancela'  [predicted:  help ; correct:  cancel ]
TIME:  0.006185770034790039
SCORE:  7 / 30  ( 0.23333333333333334 )
b'\xc3\x93timo!'  [predicted:  get ; correct:  ok ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  get ; correct:  help ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  get ; correct:  help ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  get ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  cancel ; correct:  bad ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'pacote'  [predicted:  get ; correct:  add ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'ok'  [predicted:  get ; correct:  ok ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Ajuda'  [predicted:  get ; correct:  help ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
TIME:  0.0060079097747802734
SCORE:  10 / 30  ( 0.3333333333333333 )
b'Retirar'  [predicted:  help ; correct:  delete ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'sai'  [predicted:  help ; correct:  cancel ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Remover'  [predicted:  help ; correct:  delete ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Novo'  [predicted:  help ; correct:  add ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  get ; correct:  saymyname ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'C\xc3\xb3digo'  [predicted:  help ; correct:  get ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  cancel ; correct:  bad ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
b'Rastrear'  [predicted:  help ; correct:  get ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'Registrar'  [predicted:  help ; correct:  add ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
TIME:  0.006116151809692383
SCORE:  16 / 30  ( 0.5333333333333333 )
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Minhas encomendas'  [predicted:  help ; correct:  get ]
b'Entrega'  [predicted:  help ; correct:  get ]
b'Consultar'  [predicted:  help ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  help ; correct:  welcome ]
b'Muito obrigada'  [predicted:  help ; correct:  thanks ]
b'Listar comandos'  [predicted:  help ; correct:  help ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'Listar'  [predicted:  help ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  add ; correct:  help ]
b'ok'  [predicted:  help ; correct:  ok ]
b'Encomenda'  [predicted:  help ; correct:  get ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Meus itens'  [predicted:  help ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  help ; correct:  welcome ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'C\xc3\xb3digo'  [predicted:  help ; correct:  get ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Meus objetos'  [predicted:  help ; correct:  get ]
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Lista'  [predicted:  help ; correct:  get ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
TIME:  0.005650997161865234
SCORE:  14 / 30  ( 0.4666666666666667 )
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Cadastrar'  [predicted:  get ; correct:  add ]
b'Registrar'  [predicted:  get ; correct:  add ]
b'bom dia'  [predicted:  get ; correct:  greeting ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Burro'  [predicted:  get ; correct:  bad ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'Gostaria de registrar'  [predicted:  get ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  get ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  get ; correct:  help ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Vai tomar no cu'  [predicted:  bad ; correct:  bad ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
TIME:  0.007570028305053711
SCORE:  13 / 30  ( 0.43333333333333335 )
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  get ; correct:  saymyname ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Novo'  [predicted:  get ; correct:  add ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'para'  [predicted:  get ; correct:  cancel ]
b'Como voc\xc3\xaa funciona'  [predicted:  get ; correct:  help ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  get ; correct:  bad ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'cad\xc3\xaa'  [predicted:  get ; correct:  get ]
TIME:  0.0071010589599609375
SCORE:  13 / 30  ( 0.43333333333333335 )
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  get ; correct:  saymyname ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  get ; correct:  help ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'caralho'  [predicted:  get ; correct:  bad ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Ajuda'  [predicted:  get ; correct:  help ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  add ; correct:  help ]
b'cancela'  [predicted:  get ; correct:  cancel ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'C\xc3\xb3digo'  [predicted:  get ; correct:  get ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'deletar'  [predicted:  get ; correct:  delete ]
TIME:  0.007314205169677734
SCORE:  11 / 30  ( 0.36666666666666664 )
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  get ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'tchau'  [predicted:  get ; correct:  bye ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Quero rastrear uma encomenda'  [predicted:  add ; correct:  get ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Registrar'  [predicted:  get ; correct:  add ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  get ; correct:  help ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Vai tomar no cu'  [predicted:  bad ; correct:  bad ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  get ; correct:  help ]
b'ok'  [predicted:  get ; correct:  ok ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
TIME:  0.012601852416992188
SCORE:  11 / 30  ( 0.36666666666666664 )
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'Burro'  [predicted:  help ; correct:  bad ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Cadastrar'  [predicted:  help ; correct:  add ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'C\xc3\xb3digo'  [predicted:  help ; correct:  get ]
b'Lista'  [predicted:  help ; correct:  get ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  help ; correct:  help ]
b'Listar'  [predicted:  help ; correct:  get ]
b'adicionar'  [predicted:  help ; correct:  add ]
b'Rastrear'  [predicted:  help ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'adeus'  [predicted:  help ; correct:  bye ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'oi'  [predicted:  help ; correct:  welcome ]
b'Obrigada'  [predicted:  help ; correct:  thanks ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Consultar'  [predicted:  help ; correct:  get ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Obrigado'  [predicted:  help ; correct:  thanks ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'bom dia'  [predicted:  get ; correct:  greeting ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
TIME:  0.007550954818725586
SCORE:  12 / 30  ( 0.4 )
b'adicionar'  [predicted:  get ; correct:  add ]
b'pacote'  [predicted:  get ; correct:  add ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Como funciona'  [predicted:  get ; correct:  help ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Cadastrar encomenda'  [predicted:  add ; correct:  add ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'cancela'  [predicted:  get ; correct:  cancel ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'adeus'  [predicted:  get ; correct:  bye ]
b'\xc3\x93timo!'  [predicted:  get ; correct:  ok ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  get ; correct:  cancel ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
b'caralho'  [predicted:  get ; correct:  bad ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
TIME:  0.009725332260131836
SCORE:  7 / 30  ( 0.23333333333333334 )
b'Me ajuda'  [predicted:  help ; correct:  help ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'adicionar'  [predicted:  help ; correct:  add ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Como voc\xc3\xaa funciona'  [predicted:  get ; correct:  help ]
b'Tudo bem'  [predicted:  get ; correct:  ok ]
